,Cluster,Sample,0_1,10_0,11_1,12_0,13_0,13_1,13_3,14_0,14_3,15_0,15_1,16_0,16_1,17_0,17_1,18_0,18_1,18_3,19_1,1_0,20_0,21_0,21_1,22_0,23_0,24_0,24_1,25_0,26_0,26_1,27_0,28_0,29_0,30_0,30_1,31_1,32_0,33_0,33_1,34_0,34_1,35_1,36_0,36_1,37_0,37_1,38_0,38_1,39_0,3_0,3_1,40_0,40_1,40_3,41_0,42_0,42_1,43_0,43_1,43_3,44_0,44_1,45_0,45_1,46_0,46_1,47_0,47_1,47_3,48_0,48_1,48_3,49_0,49_3,4_0,50_0,50_1,51_0,51_1,52_0,53_0,53_1,54_1,55_0,56_0,57_0,57_1,58_0,58_1,59_0,5_0,5_1,60_1,61_0,61_1,62_0,63_0,63_1,64_0,64_1,65_0,67_0,67_3,68_0,68_1,69_0,69_3,6_0,70_0,71_0,71_3,72_0,72_1,73_0,73_3,74_0,75_0,76_0,76_1,77_0,77_1,78_0,79_0,7_0,80_0,81_0,82_0,83_0,83_3,84_0,84_1,85_0,85_1,86_0,87_0,87_1,88_0,88_1,89_0,89_1,8_0,8_3,90_0,91_0,91_1,92_1,93_0,93_1,94_0,95_0,95_3,96_0,96_1,96_3,97_0,98_0,98_1,99_0,99_1,99_3,9_0,9_1,9_3
0,1,J2,0.0625,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.08333333333333333,0.0625,0.07407407407407407,0.05555555555555555,0.07142857142857142,0.1111111111111111,0.058823529411764705,0.05,0.05263157894736842,0.11764705882352941,0.0625,0.07142857142857142,0.05555555555555555,0.11764705882352941,0.0625,0.1111111111111111,0.11764705882352941,0.05263157894736842,0.06666666666666667,0.05,0.05263157894736842,0.09090909090909091,0.0625,0.15,0.15,0.0625,0.058823529411764705,0.05263157894736842,0.16666666666666666,0.0625,0.13333333333333333,0.05,0.05,0.125,0.05263157894736842,0.05555555555555555,0.17857142857142858,0.05263157894736842,0.0625,0.029411764705882353,0.05555555555555555,0.06666666666666667,0.13333333333333333,0.13924050632911392,0.058823529411764705,0.0625,0.05263157894736842,0.125,0.043478260869565216,0.07692307692307693,0.10526315789473684,0.06666666666666667,0.15,0.06666666666666667,0.08333333333333333,0.0967741935483871,0.07112970711297072,0.09090909090909091,0.045454545454545456,0.05,0.10526315789473684,0.0625,0.0625,0.25,0.0625,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.125,0.125,0.0625,0.05,0.05555555555555555,0.2,0.04,0.05263157894736842,0.1,0.125,0.045454545454545456,0.058823529411764705,0.10526315789473684,0.11764705882352941,0.12,0.06666666666666667,0.061224489795918366,0.05,0.10526315789473684,0.043478260869565216,0.058823529411764705,0.13043478260869565,0.045454545454545456,0.06666666666666667,0.05172413793103448,0.12345679012345678,0.058823529411764705,0.16,0.058823529411764705,0.047619047619047616,0.13793103448275862,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.047619047619047616,0.08,0.1111111111111111,0.18181818181818182,0.05,0.06666666666666667,0.058823529411764705,0.16,0.058823529411764705,0.06666666666666667,0.041666666666666664,0.023255813953488372,0.06779661016949153,0.058823529411764705,0.05263157894736842,0.1111111111111111,0.07142857142857142,0.05555555555555555,0.05555555555555555,0.05263157894736842,0.10526315789473684,0.06666666666666667,0.0625,0.047619047619047616,0.11764705882352941,0.07317073170731707,0.1,0.05555555555555555,0.058823529411764705,0.18181818181818182,0.038461538461538464,0.09523809523809523,0.06666666666666667,0.0625,0.06666666666666667,0.05555555555555555,0.058823529411764705,0.125,0.11764705882352941,0.08997429305912596,0.043478260869565216,0.058823529411764705,0.05263157894736842,0.125,0.125,0.125,0.06666666666666667,0.024390243902439025,0.19047619047619047,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.09090909090909091,0.14285714285714285,0.05,0.1111111111111111
2,2,J2,0.125,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.041666666666666664,0.0625,0.037037037037037035,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.11764705882352941,0.1,0.05263157894736842,0.058823529411764705,0.0625,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0625,0.05555555555555555,0.058823529411764705,0.05263157894736842,0.044444444444444446,0.1,0.05263157894736842,0.045454545454545456,0.0625,0.05,0.05,0.0625,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.0625,0.06666666666666667,0.05,0.05,0.0625,0.05263157894736842,0.1111111111111111,0.03571428571428571,0.05263157894736842,0.0625,0.029411764705882353,0.05555555555555555,0.06666666666666667,0.06666666666666667,0.02531645569620253,0.17647058823529413,0.0625,0.10526315789473684,0.041666666666666664,0.043478260869565216,0.03076923076923077,0.05263157894736842,0.06666666666666667,0.05,0.06666666666666667,0.020833333333333332,0.06451612903225806,0.04184100418410042,0.030303030303030304,0.045454545454545456,0.05,0.05263157894736842,0.0625,0.0625,0.05,0.0625,0.11764705882352941,0.058823529411764705,0.07142857142857142,0.0625,0.0625,0.125,0.05,0.05555555555555555,0.05,0.04,0.05263157894736842,0.05,0.0625,0.030303030303030304,0.11764705882352941,0.05263157894736842,0.058823529411764705,0.08,0.06666666666666667,0.08163265306122448,0.05,0.05263157894736842,0.043478260869565216,0.058823529411764705,0.043478260869565216,0.045454545454545456,0.06666666666666667,0.017241379310344827,0.012345679012345678,0.058823529411764705,0.04,0.058823529411764705,0.047619047619047616,0.034482758620689655,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.14285714285714285,0.04,0.1111111111111111,0.045454545454545456,0.1,0.06666666666666667,0.058823529411764705,0.04,0.058823529411764705,0.06666666666666667,0.08333333333333333,0.046511627906976744,0.01694915254237288,0.058823529411764705,0.10526315789473684,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.05555555555555555,0.05263157894736842,0.05263157894736842,0.06666666666666667,0.0625,0.03571428571428571,0.058823529411764705,0.07317073170731707,0.05,0.1111111111111111,0.058823529411764705,0.045454545454545456,0.07692307692307693,0.09523809523809523,0.06666666666666667,0.0625,0.06666666666666667,0.1111111111111111,0.058823529411764705,0.041666666666666664,0.058823529411764705,0.06426735218508997,0.043478260869565216,0.058823529411764705,0.05263157894736842,0.0625,0.0625,0.0625,0.06666666666666667,0.04878048780487805,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.047619047619047616,0.05,0.05555555555555555
4,3,J2,0.0625,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.08333333333333333,0.0625,0.037037037037037035,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.1,0.05263157894736842,0.058823529411764705,0.0625,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0625,0.05555555555555555,0.058823529411764705,0.05263157894736842,0.13333333333333333,0.05,0.05263157894736842,0.09090909090909091,0.0625,0.05,0.05,0.0625,0.058823529411764705,0.21052631578947367,0.05555555555555555,0.0625,0.06666666666666667,0.05,0.05,0.0625,0.10526315789473684,0.05555555555555555,0.10714285714285714,0.05263157894736842,0.0625,0.058823529411764705,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.05063291139240506,0.058823529411764705,0.0625,0.15789473684210525,0.08333333333333333,0.043478260869565216,0.03076923076923077,0.10526315789473684,0.06666666666666667,0.15,0.06666666666666667,0.10416666666666667,0.03225806451612903,0.0502092050209205,0.06060606060606061,0.045454545454545456,0.1,0.05263157894736842,0.0625,0.0625,0.1,0.125,0.11764705882352941,0.058823529411764705,0.07142857142857142,0.0625,0.0625,0.0625,0.1,0.05555555555555555,0.05,0.08,0.05263157894736842,0.05,0.0625,0.16666666666666666,0.11764705882352941,0.10526315789473684,0.058823529411764705,0.08,0.06666666666666667,0.12244897959183673,0.1,0.10526315789473684,0.13043478260869565,0.058823529411764705,0.043478260869565216,0.09090909090909091,0.06666666666666667,0.08620689655172414,0.19753086419753085,0.058823529411764705,0.16,0.058823529411764705,0.09523809523809523,0.034482758620689655,0.1111111111111111,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.09523809523809523,0.2,0.1111111111111111,0.045454545454545456,0.05,0.06666666666666667,0.058823529411764705,0.04,0.058823529411764705,0.06666666666666667,0.08333333333333333,0.13953488372093023,0.1016949152542373,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.05555555555555555,0.10526315789473684,0.10526315789473684,0.06666666666666667,0.0625,0.10714285714285714,0.058823529411764705,0.0975609756097561,0.05,0.05555555555555555,0.058823529411764705,0.045454545454545456,0.038461538461538464,0.047619047619047616,0.06666666666666667,0.0625,0.06666666666666667,0.05555555555555555,0.058823529411764705,0.08333333333333333,0.058823529411764705,0.10796915167095116,0.043478260869565216,0.11764705882352941,0.05263157894736842,0.0625,0.0625,0.0625,0.06666666666666667,0.07317073170731707,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.047619047619047616,0.05,0.05555555555555555
6,4,J2,0.0625,0.1111111111111111,0.1111111111111111,0.07142857142857142,0.25,0.0625,0.037037037037037035,0.05555555555555555,0.07142857142857142,0.16666666666666666,0.058823529411764705,0.1,0.05263157894736842,0.058823529411764705,0.0625,0.07142857142857142,0.16666666666666666,0.058823529411764705,0.0625,0.16666666666666666,0.058823529411764705,0.10526315789473684,0.044444444444444446,0.2,0.05263157894736842,0.13636363636363635,0.125,0.05,0.1,0.125,0.11764705882352941,0.10526315789473684,0.1111111111111111,0.0625,0.06666666666666667,0.05,0.05,0.0625,0.10526315789473684,0.1111111111111111,0.10714285714285714,0.15789473684210525,0.125,0.3235294117647059,0.1111111111111111,0.13333333333333333,0.06666666666666667,0.189873417721519,0.11764705882352941,0.0625,0.05263157894736842,0.125,0.17391304347826086,0.03076923076923077,0.10526315789473684,0.13333333333333333,0.1,0.06666666666666667,0.20833333333333334,0.03225806451612903,0.41841004184100417,0.09090909090909091,0.22727272727272727,0.1,0.15789473684210525,0.125,0.1875,0.05,0.0625,0.058823529411764705,0.23529411764705882,0.07142857142857142,0.0625,0.0625,0.0625,0.1,0.1111111111111111,0.05,0.36,0.2631578947368421,0.15,0.0625,0.07575757575757576,0.058823529411764705,0.05263157894736842,0.11764705882352941,0.08,0.06666666666666667,0.14285714285714285,0.15,0.15789473684210525,0.08695652173913043,0.11764705882352941,0.13043478260869565,0.09090909090909091,0.06666666666666667,0.06896551724137931,0.07407407407407407,0.11764705882352941,0.04,0.11764705882352941,0.09523809523809523,0.034482758620689655,0.16666666666666666,0.1111111111111111,0.06666666666666667,0.07142857142857142,0.09523809523809523,0.16,0.05555555555555555,0.045454545454545456,0.2,0.06666666666666667,0.11764705882352941,0.12,0.17647058823529413,0.06666666666666667,0.08333333333333333,0.16279069767441862,0.05084745762711865,0.11764705882352941,0.05263157894736842,0.1111111111111111,0.07142857142857142,0.1111111111111111,0.1111111111111111,0.15789473684210525,0.10526315789473684,0.13333333333333333,0.125,0.09523809523809523,0.058823529411764705,0.17073170731707318,0.15,0.1111111111111111,0.058823529411764705,0.18181818181818182,0.15384615384615385,0.047619047619047616,0.13333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.11764705882352941,0.041666666666666664,0.058823529411764705,0.18251928020565553,0.391304347826087,0.11764705882352941,0.10526315789473684,0.0625,0.125,0.0625,0.06666666666666667,0.21951219512195122,0.14285714285714285,0.07142857142857142,0.06666666666666667,0.13333333333333333,0.045454545454545456,0.14285714285714285,0.1,0.05555555555555555
8,5,J2,0.0625,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.08333333333333333,0.0625,0.14814814814814814,0.1111111111111111,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.05,0.05263157894736842,0.058823529411764705,0.125,0.07142857142857142,0.05555555555555555,0.11764705882352941,0.0625,0.05555555555555555,0.11764705882352941,0.05263157894736842,0.022222222222222223,0.05,0.10526315789473684,0.045454545454545456,0.0625,0.1,0.05,0.0625,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.0625,0.06666666666666667,0.1,0.05,0.0625,0.05263157894736842,0.05555555555555555,0.03571428571428571,0.05263157894736842,0.0625,0.058823529411764705,0.05555555555555555,0.06666666666666667,0.06666666666666667,0.05063291139240506,0.058823529411764705,0.0625,0.05263157894736842,0.041666666666666664,0.043478260869565216,0.2,0.05263157894736842,0.06666666666666667,0.05,0.06666666666666667,0.08333333333333333,0.06451612903225806,0.03765690376569038,0.06060606060606061,0.045454545454545456,0.05,0.10526315789473684,0.0625,0.0625,0.05,0.125,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.0625,0.0625,0.0625,0.1,0.05555555555555555,0.05,0.08,0.05263157894736842,0.05,0.0625,0.015151515151515152,0.058823529411764705,0.05263157894736842,0.058823529411764705,0.04,0.06666666666666667,0.061224489795918366,0.05,0.10526315789473684,0.13043478260869565,0.11764705882352941,0.08695652173913043,0.09090909090909091,0.06666666666666667,0.05172413793103448,0.024691358024691357,0.058823529411764705,0.08,0.058823529411764705,0.047619047619047616,0.034482758620689655,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.09523809523809523,0.04,0.05555555555555555,0.09090909090909091,0.05,0.06666666666666667,0.11764705882352941,0.12,0.11764705882352941,0.06666666666666667,0.041666666666666664,0.023255813953488372,0.1016949152542373,0.058823529411764705,0.05263157894736842,0.1111111111111111,0.07142857142857142,0.1111111111111111,0.05555555555555555,0.10526315789473684,0.05263157894736842,0.06666666666666667,0.0625,0.08333333333333333,0.058823529411764705,0.07317073170731707,0.05,0.05555555555555555,0.058823529411764705,0.045454545454545456,0.07692307692307693,0.09523809523809523,0.06666666666666667,0.0625,0.06666666666666667,0.05555555555555555,0.058823529411764705,0.041666666666666664,0.058823529411764705,0.07712082262210797,0.08695652173913043,0.058823529411764705,0.10526315789473684,0.125,0.0625,0.0625,0.06666666666666667,0.12195121951219512,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.18181818181818182,0.047619047619047616,0.1,0.05555555555555555
10,6,J2,0.0625,0.05555555555555555,0.1111111111111111,0.07142857142857142,0.08333333333333333,0.0625,0.14814814814814814,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.05,0.05263157894736842,0.058823529411764705,0.0625,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.125,0.05555555555555555,0.058823529411764705,0.05263157894736842,0.06666666666666667,0.05,0.05263157894736842,0.045454545454545456,0.0625,0.05,0.05,0.0625,0.11764705882352941,0.05263157894736842,0.05555555555555555,0.0625,0.06666666666666667,0.05,0.05,0.125,0.05263157894736842,0.05555555555555555,0.03571428571428571,0.10526315789473684,0.0625,0.058823529411764705,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.0759493670886076,0.058823529411764705,0.0625,0.05263157894736842,0.125,0.08695652173913043,0.24615384615384617,0.05263157894736842,0.06666666666666667,0.05,0.06666666666666667,0.041666666666666664,0.12903225806451613,0.058577405857740586,0.06060606060606061,0.09090909090909091,0.15,0.05263157894736842,0.0625,0.0625,0.05,0.0625,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.0625,0.0625,0.0625,0.1,0.1111111111111111,0.05,0.04,0.05263157894736842,0.05,0.0625,0.045454545454545456,0.11764705882352941,0.05263157894736842,0.058823529411764705,0.08,0.13333333333333333,0.061224489795918366,0.05,0.05263157894736842,0.08695652173913043,0.058823529411764705,0.043478260869565216,0.09090909090909091,0.06666666666666667,0.20689655172413793,0.04938271604938271,0.058823529411764705,0.04,0.058823529411764705,0.09523809523809523,0.034482758620689655,0.05555555555555555,0.1111111111111111,0.06666666666666667,0.07142857142857142,0.09523809523809523,0.04,0.05555555555555555,0.045454545454545456,0.05,0.13333333333333333,0.11764705882352941,0.04,0.058823529411764705,0.06666666666666667,0.08333333333333333,0.09302325581395349,0.13559322033898305,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.07142857142857142,0.1111111111111111,0.05555555555555555,0.05263157894736842,0.05263157894736842,0.06666666666666667,0.0625,0.2261904761904762,0.11764705882352941,0.024390243902439025,0.1,0.05555555555555555,0.058823529411764705,0.045454545454545456,0.11538461538461539,0.047619047619047616,0.06666666666666667,0.0625,0.06666666666666667,0.05555555555555555,0.11764705882352941,0.125,0.058823529411764705,0.05141388174807198,0.043478260869565216,0.058823529411764705,0.05263157894736842,0.0625,0.0625,0.0625,0.06666666666666667,0.1951219512195122,0.047619047619047616,0.07142857142857142,0.13333333333333333,0.06666666666666667,0.045454545454545456,0.047619047619047616,0.05,0.05555555555555555
12,7,J2,0.0625,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.041666666666666664,0.0625,0.07407407407407407,0.16666666666666666,0.07142857142857142,0.05555555555555555,0.11764705882352941,0.05,0.05263157894736842,0.11764705882352941,0.0625,0.07142857142857142,0.1111111111111111,0.058823529411764705,0.0625,0.1111111111111111,0.058823529411764705,0.05263157894736842,0.13333333333333333,0.05,0.05263157894736842,0.09090909090909091,0.0625,0.05,0.05,0.0625,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.0625,0.06666666666666667,0.05,0.1,0.0625,0.10526315789473684,0.05555555555555555,0.10714285714285714,0.10526315789473684,0.0625,0.17647058823529413,0.05555555555555555,0.06666666666666667,0.06666666666666667,0.12658227848101267,0.058823529411764705,0.0625,0.05263157894736842,0.08333333333333333,0.08695652173913043,0.046153846153846156,0.05263157894736842,0.06666666666666667,0.1,0.06666666666666667,0.125,0.0967741935483871,0.06276150627615062,0.15151515151515152,0.045454545454545456,0.1,0.05263157894736842,0.125,0.0625,0.05,0.0625,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.0625,0.125,0.0625,0.05,0.05555555555555555,0.1,0.04,0.05263157894736842,0.1,0.125,0.07575757575757576,0.058823529411764705,0.10526315789473684,0.058823529411764705,0.16,0.06666666666666667,0.12244897959183673,0.1,0.05263157894736842,0.17391304347826086,0.058823529411764705,0.043478260869565216,0.045454545454545456,0.06666666666666667,0.05172413793103448,0.14814814814814814,0.058823529411764705,0.08,0.058823529411764705,0.047619047619047616,0.10344827586206896,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.047619047619047616,0.04,0.05555555555555555,0.09090909090909091,0.05,0.06666666666666667,0.058823529411764705,0.08,0.058823529411764705,0.06666666666666667,0.08333333333333333,0.13953488372093023,0.01694915254237288,0.058823529411764705,0.21052631578947367,0.1111111111111111,0.07142857142857142,0.05555555555555555,0.05555555555555555,0.05263157894736842,0.10526315789473684,0.06666666666666667,0.0625,0.05952380952380952,0.11764705882352941,0.12195121951219512,0.05,0.05555555555555555,0.058823529411764705,0.13636363636363635,0.19230769230769232,0.047619047619047616,0.06666666666666667,0.0625,0.06666666666666667,0.05555555555555555,0.11764705882352941,0.08333333333333333,0.11764705882352941,0.06940874035989718,0.043478260869565216,0.058823529411764705,0.10526315789473684,0.0625,0.0625,0.0625,0.06666666666666667,0.024390243902439025,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.09090909090909091,0.047619047619047616,0.15,0.05555555555555555
14,8,J2,0.0625,0.05555555555555555,0.05555555555555555,0.07142857142857142,0.041666666666666664,0.0625,0.1111111111111111,0.05555555555555555,0.07142857142857142,0.1111111111111111,0.058823529411764705,0.05,0.15789473684210525,0.058823529411764705,0.125,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0625,0.05555555555555555,0.11764705882352941,0.10526315789473684,0.044444444444444446,0.1,0.05263157894736842,0.045454545454545456,0.0625,0.2,0.1,0.0625,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.1875,0.06666666666666667,0.05,0.1,0.0625,0.05263157894736842,0.16666666666666666,0.07142857142857142,0.05263157894736842,0.125,0.058823529411764705,0.05555555555555555,0.06666666666666667,0.06666666666666667,0.08860759493670886,0.058823529411764705,0.125,0.05263157894736842,0.08333333333333333,0.21739130434782608,0.06153846153846154,0.10526315789473684,0.06666666666666667,0.05,0.06666666666666667,0.10416666666666667,0.06451612903225806,0.13389121338912133,0.12121212121212122,0.09090909090909091,0.05,0.05263157894736842,0.0625,0.0625,0.05,0.0625,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.0625,0.0625,0.125,0.15,0.05555555555555555,0.1,0.08,0.05263157894736842,0.05,0.0625,0.07575757575757576,0.058823529411764705,0.10526315789473684,0.11764705882352941,0.12,0.06666666666666667,0.08163265306122448,0.1,0.05263157894736842,0.043478260869565216,0.11764705882352941,0.08695652173913043,0.13636363636363635,0.13333333333333333,0.08620689655172414,0.09876543209876543,0.058823529411764705,0.04,0.11764705882352941,0.09523809523809523,0.1724137931034483,0.05555555555555555,0.16666666666666666,0.06666666666666667,0.07142857142857142,0.047619047619047616,0.04,0.1111111111111111,0.045454545454545456,0.15,0.06666666666666667,0.058823529411764705,0.08,0.058823529411764705,0.13333333333333333,0.08333333333333333,0.023255813953488372,0.05084745762711865,0.11764705882352941,0.10526315789473684,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.1111111111111111,0.05263157894736842,0.05263157894736842,0.06666666666666667,0.0625,0.08333333333333333,0.058823529411764705,0.0975609756097561,0.05,0.1111111111111111,0.058823529411764705,0.045454545454545456,0.038461538461538464,0.14285714285714285,0.06666666666666667,0.0625,0.06666666666666667,0.1111111111111111,0.058823529411764705,0.08333333333333333,0.11764705882352941,0.08226221079691516,0.043478260869565216,0.11764705882352941,0.10526315789473684,0.0625,0.0625,0.0625,0.06666666666666667,0.024390243902439025,0.09523809523809523,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.09523809523809523,0.15,0.05555555555555555
16,9,J2,0.0625,0.1111111111111111,0.05555555555555555,0.07142857142857142,0.041666666666666664,0.0625,0.07407407407407407,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.05,0.10526315789473684,0.058823529411764705,0.0625,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0625,0.05555555555555555,0.058823529411764705,0.10526315789473684,0.044444444444444446,0.1,0.05263157894736842,0.045454545454545456,0.0625,0.05,0.05,0.0625,0.058823529411764705,0.10526315789473684,0.1111111111111111,0.0625,0.06666666666666667,0.05,0.1,0.0625,0.10526315789473684,0.05555555555555555,0.07142857142857142,0.05263157894736842,0.0625,0.029411764705882353,0.1111111111111111,0.06666666666666667,0.06666666666666667,0.02531645569620253,0.058823529411764705,0.125,0.05263157894736842,0.041666666666666664,0.043478260869565216,0.07692307692307693,0.10526315789473684,0.06666666666666667,0.05,0.06666666666666667,0.0625,0.0967741935483871,0.03347280334728033,0.030303030303030304,0.045454545454545456,0.05,0.05263157894736842,0.0625,0.0625,0.05,0.0625,0.11764705882352941,0.058823529411764705,0.07142857142857142,0.125,0.0625,0.0625,0.05,0.05555555555555555,0.1,0.04,0.05263157894736842,0.05,0.0625,0.030303030303030304,0.058823529411764705,0.05263157894736842,0.058823529411764705,0.04,0.06666666666666667,0.04081632653061224,0.1,0.05263157894736842,0.043478260869565216,0.058823529411764705,0.043478260869565216,0.13636363636363635,0.06666666666666667,0.10344827586206896,0.037037037037037035,0.11764705882352941,0.04,0.11764705882352941,0.09523809523809523,0.034482758620689655,0.05555555555555555,0.05555555555555555,0.06666666666666667,0.07142857142857142,0.047619047619047616,0.04,0.05555555555555555,0.09090909090909091,0.05,0.06666666666666667,0.058823529411764705,0.08,0.058823529411764705,0.06666666666666667,0.041666666666666664,0.023255813953488372,0.05084745762711865,0.11764705882352941,0.05263157894736842,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.05555555555555555,0.05263157894736842,0.10526315789473684,0.06666666666666667,0.0625,0.047619047619047616,0.058823529411764705,0.04878048780487805,0.05,0.1111111111111111,0.058823529411764705,0.045454545454545456,0.038461538461538464,0.09523809523809523,0.06666666666666667,0.0625,0.06666666666666667,0.1111111111111111,0.058823529411764705,0.041666666666666664,0.058823529411764705,0.05912596401028278,0.043478260869565216,0.058823529411764705,0.05263157894736842,0.0625,0.0625,0.0625,0.06666666666666667,0.024390243902439025,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.047619047619047616,0.05,0.1111111111111111
18,10,J2,0.125,0.05555555555555555,0.1111111111111111,0.07142857142857142,0.041666666666666664,0.0625,0.037037037037037035,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.15,0.10526315789473684,0.058823529411764705,0.0625,0.07142857142857142,0.05555555555555555,0.058823529411764705,0.0625,0.05555555555555555,0.058823529411764705,0.10526315789473684,0.17777777777777778,0.05,0.10526315789473684,0.09090909090909091,0.0625,0.05,0.05,0.125,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.0625,0.06666666666666667,0.15,0.15,0.0625,0.05263157894736842,0.05555555555555555,0.07142857142857142,0.05263157894736842,0.0625,0.029411764705882353,0.05555555555555555,0.06666666666666667,0.06666666666666667,0.06329113924050633,0.058823529411764705,0.0625,0.10526315789473684,0.041666666666666664,0.043478260869565216,0.07692307692307693,0.05263157894736842,0.06666666666666667,0.05,0.06666666666666667,0.041666666666666664,0.0967741935483871,0.012552301255230125,0.15151515151515152,0.09090909090909091,0.05,0.05263157894736842,0.0625,0.0625,0.1,0.0625,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.0625,0.0625,0.0625,0.05,0.1111111111111111,0.05,0.04,0.10526315789473684,0.05,0.0625,0.07575757575757576,0.058823529411764705,0.05263157894736842,0.058823529411764705,0.04,0.06666666666666667,0.08163265306122448,0.05,0.05263157894736842,0.043478260869565216,0.058823529411764705,0.08695652173913043,0.045454545454545456,0.06666666666666667,0.08620689655172414,0.1111111111111111,0.058823529411764705,0.08,0.058823529411764705,0.09523809523809523,0.034482758620689655,0.05555555555555555,0.05555555555555555,0.13333333333333333,0.07142857142857142,0.047619047619047616,0.04,0.05555555555555555,0.045454545454545456,0.05,0.06666666666666667,0.058823529411764705,0.08,0.058823529411764705,0.06666666666666667,0.125,0.18604651162790697,0.1016949152542373,0.058823529411764705,0.05263157894736842,0.05555555555555555,0.07142857142857142,0.05555555555555555,0.1111111111111111,0.05263157894736842,0.05263157894736842,0.06666666666666667,0.0625,0.05952380952380952,0.058823529411764705,0.024390243902439025,0.05,0.05555555555555555,0.058823529411764705,0.045454545454545456,0.038461538461538464,0.047619047619047616,0.06666666666666667,0.0625,0.06666666666666667,0.05555555555555555,0.058823529411764705,0.041666666666666664,0.058823529411764705,0.08483290488431877,0.043478260869565216,0.058823529411764705,0.05263157894736842,0.0625,0.0625,0.0625,0.06666666666666667,0.07317073170731707,0.047619047619047616,0.07142857142857142,0.06666666666666667,0.06666666666666667,0.045454545454545456,0.047619047619047616,0.05,0.16666666666666666
