,# Control Cells in Cluster,# Flt3l Cells in Cluster,# Input Cells in Cluster,Flt3l fold enrichment,hypergeom p,Fisher p,Fisher -log10p,-log10p
0,0.0,2.0,0.0,3.0,0.0,1.0,-0.0,0.0
1,0.0,19.0,0.0,20.0,0.0,0.011299001052975654602,1.9469599723815917969,0.0
2,0.0,1.0,0.0,2.0,0.0,1.0,-0.0,0.0
3,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
4,9.0,16.0,0.0,1.6999999999999999556,0.92525107,0.08972621709108352661,1.0470806360244750977,0.033740405
5,0.0,4.0,1.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
6,0.0,4.0,0.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
7,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
8,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
9,0.0,0.0,1.0,1.0,0.0,1.0,-0.0,0.0
10,0.0,11.0,0.0,12.0,0.0,0.13426713645458221436,0.8720302581787109375,0.0
11,1.0,11.0,0.0,6.0,0.0495954,0.4796644747257232666,0.31906244158744812012,1.3045586
12,1.0,1.0,0.0,1.0,0.6085518,0.39144819974899291992,0.4073257148265838623,0.21570246
13,2.0,5.0,0.0,2.0,0.52253723,0.6520613431930541992,0.18571154773235321045,0.28188276
14,0.0,4.0,0.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
15,0.0,1.0,1.0,2.0,0.0,1.0,-0.0,0.0
16,0.0,7.0,0.0,8.0,0.0,0.35731470584869384766,0.44694912433624267578,0.0
17,0.0,4.0,0.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
18,0.0,6.0,0.0,7.0,0.0,0.34805577993392944336,0.45835113525390625,0.0
19,0.0,6.0,1.0,7.0,0.0,0.34805577993392944336,0.45835113525390625,0.0
20,0.0,1.0,0.0,2.0,0.0,1.0,-0.0,0.0
21,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
22,1.0,1.0,0.0,1.0,0.6085518,0.39144819974899291992,0.4073257148265838623,0.21570246
23,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
24,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
25,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
26,14.0,7.0,0.0,0.53333333333333332593,0.99998987,1.0157866199733689427e-05,4.9931974411010742188,4.400637e-06
27,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
28,0.0,1.0,0.0,2.0,0.0,1.0,-0.0,0.0
29,0.0,7.0,0.0,8.0,0.0,0.35731470584869384766,0.44694912433624267578,0.0
30,1.0,4.0,0.0,2.5,0.28804514,1.0,-0.0,0.54053944
31,0.0,10.0,1.0,11.0,0.0,0.12862740457057952881,0.8906664848327636719,0.0
32,2.0,9.0,1.0,3.3333333333333334814,0.26521993,1.0,-0.0,0.57639384
33,8.0,4.0,1.0,0.55555555555555558023,0.9989789,0.0010210950858891010284,2.9909338951110839844,0.00044367908
34,1.0,18.0,0.0,9.5,0.008370919,0.09195660054683685303,1.0364171266555786133,2.0772269
35,0.0,2.0,1.0,3.0,0.0,1.0,-0.0,0.0
36,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
37,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
38,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
39,0.0,2.0,0.0,3.0,0.0,1.0,-0.0,0.0
40,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
41,1.0,0.0,0.0,0.5,0.7802504,0.21974965929985046387,0.65807181596755981445,0.10776602
42,4.0,1.0,0.0,0.4000000000000000222,0.9906337,0.009366265498101711273,2.0284335613250732422,0.0040868907
43,0.0,4.0,0.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
44,0.0,12.0,0.0,13.0,0.0,0.07872174680233001709,1.1039053201675415039,0.0
45,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
46,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
47,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
48,8.0,2.0,0.0,0.33333333333333331483,0.99985963,0.00014033957268111407757,3.8528199195861816406,6.0965736e-05
49,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
50,3.0,1.0,0.0,0.5,0.9649711,0.03502886742353439331,1.4555739164352416992,0.0154856825
51,1.0,2.0,0.0,1.5,0.47444972,0.5255502462387084961,0.27938577532768249512,0.3238098
52,6.0,21.0,1.0,3.1428571428571427937,0.43487412,1.0,-0.0,0.36163643
53,0.0,1.0,0.0,2.0,0.0,1.0,-0.0,0.0
54,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
55,1.0,4.0,0.0,2.5,0.28804514,1.0,-0.0,0.54053944
56,0.0,4.0,0.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
57,0.0,6.0,0.0,7.0,0.0,0.34805577993392944336,0.45835113525390625,0.0
58,0.0,17.0,0.0,18.0,0.0,0.031946290284395217896,1.4955796003341674805,0.0
59,0.0,14.0,0.0,15.0,0.0,0.048291873186826705933,1.3161259889602661133,0.0
60,1.0,15.0,0.0,8.0,0.017988227,0.21713198721408843994,0.6632761955261230469,1.7450117
61,10.0,0.0,0.0,0.090909090909090911614,0.99999976,2.0909132558699639048e-07,6.679664134979248047,1.0354389e-07
62,0.0,19.0,0.0,20.0,0.0,0.011299001052975654602,1.9469599723815917969,0.0
63,0.0,17.0,0.0,18.0,0.0,0.031946290284395217896,1.4955796003341674805,0.0
64,1.0,9.0,0.0,5.0,0.08214982,0.6995918750762939453,0.15515524148941040039,1.0853934
65,1.0,21.0,3.0,11.0,0.0038809034,0.062360171228647232056,1.2050926685333251953,2.4110672
66,1.0,5.0,0.0,3.0,0.22430405,1.0,-0.0,0.6491629
67,1.0,30.0,0.0,15.5,0.00037800657,0.00665553240105509758,2.176817178726196289,3.4225006
68,0.0,4.0,2.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
69,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
70,20.0,2.0,0.0,0.14285714285714284921,1.0,3.9068479354420482252e-12,11.408173561096191406,-0.0
71,11.0,2.0,0.0,0.25,0.9999978,2.232055976492119953e-06,5.651294708251953125,9.577819e-07
72,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
73,0.0,1.0,1.0,2.0,0.0,1.0,-0.0,0.0
74,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
75,12.0,0.0,0.0,0.07692307692307692735,1.0,9.0622398474238252675e-09,8.0427646636962890625,-0.0
76,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
77,1.0,6.0,0.0,3.5,0.17459853,1.0,-0.0,0.7579594
78,3.0,9.0,0.0,2.5,0.48849824,0.73206603527069091797,0.1354497373104095459,0.311137
79,3.0,7.0,0.0,2.0,0.6176969,0.46445292234420776367,0.33305829763412475586,0.2092246
80,0.0,20.0,0.0,21.0,0.0,0.011236506514251232147,1.9493687152862548828,0.0
81,3.0,21.0,0.0,5.5,0.07344275,0.32293882966041564941,0.4908797144889831543,1.1340511
82,2.0,1.0,0.0,0.66666666666666662966,0.87675595,0.12324405461549758911,0.90923404693603515625,0.05712128
83,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
84,2.0,16.0,0.0,5.6666666666666669627,0.06730322,0.38893881440162658691,0.4101186990737915039,1.1719642
85,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
86,4.0,7.0,0.0,1.6000000000000000888,0.7939589,0.26988390088081359863,0.56882303953170776367,0.10020198
87,0.0,10.0,0.0,11.0,0.0,0.12862740457057952881,0.8906664848327636719,0.0
88,1.0,6.0,0.0,3.5,0.17459853,1.0,-0.0,0.7579594
89,0.0,4.0,0.0,5.0,0.0,0.58121198415756225586,0.23566544055938720703,0.0
90,0.0,0.0,1.0,1.0,0.0,1.0,-0.0,0.0
91,1.0,2.0,0.0,1.5,0.47444972,0.5255502462387084961,0.27938577532768249512,0.3238098
92,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
93,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
94,0.0,5.0,0.0,6.0,0.0,0.59146201610565185547,0.2280731499195098877,0.0
95,15.0,7.0,0.0,0.5,0.99999696,3.0463190796581329778e-06,5.516224384307861328,1.3201864e-06
96,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
97,0.0,0.0,0.0,1.0,0.0,1.0,-0.0,0.0
98,1.0,7.0,0.0,4.0,0.13585335,1.0,-0.0,0.86692965
99,0.0,1.0,1.0,2.0,0.0,1.0,-0.0,0.0
