data/PBMC_P_cellSNP
old index,new index
1,759
2,760
3,761
4,762
5,763
6,764
7,765
8,766
9,767
10,768
11,769
12,770
13,771
14,772
15,773
16,774
17,775
18,776
19,777
20,778
21,779
22,780
23,781
24,782
25,783
26,784
27,785
28,786
29,787
30,788
31,789
32,790
33,791
34,792
35,793
36,794
37,795
38,796
39,797
40,798
41,799
42,800
43,801
44,802
45,803
46,804
47,805
48,806
49,807
50,808
51,809
52,810
53,811
54,812
55,813
56,814
57,815
58,816
59,817
60,818
61,819
62,820
63,821
64,822
65,823
66,824
67,825
68,826
69,827
70,828
71,829
72,830
73,831
74,832
75,833
76,834
77,835
78,836
79,837
80,838
81,839
82,840
83,841
84,842
85,843
86,844
87,845
88,846
89,847
90,848
91,849
92,850
93,851
94,852
95,853
96,854
97,855
98,856
99,857
100,858
101,859
102,860
103,861
104,862
105,863
106,864
107,865
108,866
109,867
110,868
111,869
112,870
113,871
114,872
115,873
116,874
117,875
118,876
119,877
120,878
121,879
122,880
123,881
124,882
125,883
126,884
127,885
128,886
129,887
130,888
131,889
132,890
133,891
134,892
135,893
136,894
137,895
138,896
139,897
140,898
141,899
142,900
143,901
144,902
145,903
146,904
147,905
148,906
149,907
150,908
151,909
152,910
153,911
154,912
155,913
156,914
157,915
158,916
159,917
160,918
161,919
162,920
163,921
164,922
165,923
166,924
167,925
168,926
169,927
170,928
171,929
172,930
173,931
174,932
175,933
176,934
177,935
178,936
179,937
180,938
181,939
182,940
183,941
184,942
185,943
186,944
187,945
188,946
189,947
190,948
191,949
192,950
193,951
194,952
195,953
196,954
197,955
198,956
199,957
200,958
201,959
202,960
203,961
204,962
205,963
206,964
207,965
208,966
209,967
210,968
211,969
212,970
213,971
214,972
215,973
216,974
217,975
218,976
219,977
220,978
221,979
222,980
223,981
224,982
225,983
226,984
227,985
228,986
229,987
230,988
231,989
232,990
233,991
234,992
235,993
236,994
237,995
238,996
239,997
240,998
241,999
242,1000
243,1001
244,1002
245,1003
246,1004
247,1005
248,1006
249,1007
250,1008
251,1009
252,1010
253,1011
254,1012
255,1013
256,1014
257,1015
258,1016
259,1017
260,1018
261,1019
262,1020
263,1021
264,1022
265,1023
266,1024
267,1025
268,1026
269,1027
270,1028
271,1029
272,1030
273,1031
274,1032
275,1033
276,1034
277,1035
278,1036
279,1037
280,1038
281,1039
282,1040
283,1041
284,1042
285,1043
286,1044
287,1045
288,1046
289,1047
290,1048
291,1049
292,1050
293,1051
294,1052
295,1053
296,1054
297,1055
298,1056
299,1057
300,1058
301,1059
302,1060
303,1061
304,1062
305,1063
306,1064
307,1065
308,1066
309,1067
310,1068
311,1069
312,1070
313,1071
314,1072
315,1073
316,1074
317,1075
318,1076
319,1077
320,1078
321,1079
322,1080
323,1081
324,1082
325,1083
326,1084
327,1085
328,1086
329,1087
330,1088
331,1089
332,1090
333,1091
334,1092
335,1093
336,1094
337,1095
338,1096
339,1097
340,1098
341,1099
342,1100
343,1101
344,1102
345,1103
346,1104
347,1105
348,1106
349,1107
350,1108
351,1109
352,1110
353,1111
354,1112
355,1113
356,1114
357,1115
358,1116
359,1117
360,1118
361,1119
362,1120
363,1121
364,1122
365,1123
366,1124
367,1125
368,1126
369,1127
370,1128
371,1129
372,1130
373,1131
374,1132
375,1133
376,1134
377,1135
378,1136
379,1137
380,1138
381,1139
382,1140
383,1141
384,1142
385,1143
386,1144
387,1145
388,1146
389,1147
390,1148
391,1149
392,1150
393,1151
394,1152
395,1153
396,1154
397,1155
398,1156
399,1157
400,1158
401,1159
402,1160
403,1161
404,1162
405,1163
406,1164
407,1165
408,1166
409,1167
410,1168
411,1169
412,1170
413,1171
414,1172
415,1173
416,1174
417,1175
418,1176
419,1177
420,1178
421,1179
422,1180
423,1181
424,1182
425,1183
426,1184
427,1185
428,1186
429,1187
430,1188
431,1189
432,1190
433,1191
434,1192
435,1193
436,1194
437,1195
438,1196
439,1197
440,1198
441,1199
442,1200
443,1201
444,1202
445,1203
446,1204
447,1205
448,1206
449,1207
450,1208
451,1209
452,1210
453,1211
454,1212
455,1213
456,1214
457,1215
458,1216
459,1217
460,1218
461,1219
462,1220
463,1221
464,1222
465,1223
466,1224
467,1225
468,1226
469,1227
470,1228
471,1229
472,1230
473,1231
474,1232
475,1233
476,1234
477,1235
478,1236
479,1237
480,1238
481,1239
482,1240
483,1241
484,1242
485,1243
486,1244
487,1245
488,1246
489,1247
490,1248
491,1249
492,1250
493,1251
494,1252
495,1253
496,1254
497,1255
498,1256
499,1257
500,1258
501,1259
502,1260
503,1261
504,1262
505,1263
506,1264
507,1265
508,1266
509,1267
510,1268
511,1269
512,1270
513,1271
514,1272
515,1273
516,1274
517,1275
518,1276
519,1277
520,1278
521,1279
522,1280
523,1281
524,1282
525,1283
526,1284
527,1285
528,1286
529,1287
530,1288
531,1289
532,1290
533,1291
534,1292
535,1293
536,1294
537,1295
538,1296
539,1297
540,1298
541,1299
542,1300
543,1301
544,1302
545,1303
546,1304
547,1305
548,1306
549,1307
550,1308
551,1309
552,1310
553,1311
554,1312
555,1313
556,1314
557,1315
558,1316
559,1317
560,1318
561,1319
562,1320
563,1321
564,1322
565,1323
566,1324
567,1325
568,1326
569,1327
570,1328
571,1329
572,1330
573,1331
574,1332
575,1333
576,1334
577,1335
578,1336
579,1337
580,1338
581,1339
582,1340
583,1341
584,1342
585,1343
586,1344
587,1345
588,1346
589,1347
590,1348
591,1349
592,1350
593,1351
594,1352
595,1353
596,1354
597,1355
598,1356
599,1357
600,1358
601,1359
602,1360
603,1361
604,1362
605,1363
606,1364
607,1365
608,1366
609,1367
610,1368
611,1369
612,1370
613,1371
614,1372
615,1373
616,1374
617,1375
618,1376
619,1377
620,1378
621,1379
622,1380
623,1381
624,1382
625,1383
626,1384
627,1385
628,1386
629,1387
630,1388
631,1389
632,1390
633,1391
634,1392
635,1393
636,1394
637,1395
638,1396
639,1397
640,1398
641,1399
642,1400
643,1401
644,1402
645,1403
646,1404
647,1405
648,1406
649,1407
650,1408
651,1409
652,1410
653,1411
654,1412
655,1413
656,1414
657,1415
658,1416
659,1417
660,1418
661,1419
662,1420
663,1421
