	Before	After	A/B
0	966	7181	7.433747412008281
1	978	7118	7.2781186094069525
2	1014	7237	7.1370808678500985
3	935	7126	7.6213903743315505
4	959	7196	7.5036496350364965
5	989	7113	7.19211324570273
6	1003	7264	7.242273180458624
7	1026	7334	7.148148148148148
8	985	7242	7.352284263959391
9	1004	7194	7.165338645418327
10	1001	7248	7.240759240759241
11	993	7254	7.305135951661631
12	1017	7357	7.234021632251721
13	972	7057	7.260288065843621
14	995	7334	7.370854271356784
15	964	7235	7.505186721991701
16	1017	7181	7.060963618485743
17	969	7207	7.437564499484004
18	964	7153	7.420124481327801
19	959	7082	7.3847758081334725
20	972	7099	7.303497942386831
21	1010	7212	7.140594059405941
22	1008	7227	7.169642857142857
23	973	7156	7.354573484069887
24	1010	7307	7.234653465346534
25	998	7233	7.24749498997996
26	1040	7339	7.056730769230769
27	1015	7291	7.183251231527094
28	977	7141	7.309109518935517
29	1017	7315	7.192723697148476
30	965	7201	7.4621761658031085
31	1029	7340	7.133138969873664
32	1044	7330	7.021072796934866
33	984	7213	7.330284552845528
34	1041	7444	7.1508165225744476
35	1002	7264	7.249500998003992
36	997	7146	7.167502507522568
37	989	7312	7.3933265925176945
38	1055	7404	7.018009478672986
39	1041	7375	7.084534101825168
40	1020	7194	7.052941176470588
41	1000	7286	7.286
42	1032	7404	7.174418604651163
43	976	7208	7.385245901639344
44	940	7081	7.532978723404256
45	981	7175	7.313965341488277
46	1021	7230	7.081292850146915
47	1041	7371	7.0806916426512965
48	953	7240	7.597061909758657
49	1003	7313	7.291126620139582
50	1000	7232	7.232
51	1041	7359	7.069164265129683
52	944	7103	7.524364406779661
53	1002	7246	7.2315369261477045
54	1002	7327	7.312375249500998
55	974	7235	7.4281314168377826
56	1036	7363	7.107142857142857
57	1016	7339	7.2234251968503935
58	1004	7320	7.290836653386454
59	1012	7246	7.160079051383399
60	987	7266	7.361702127659575
61	966	7210	7.463768115942029
62	1012	7306	7.219367588932807
63	995	7248	7.284422110552764
64	978	7115	7.275051124744376
65	1038	7354	7.0847784200385355
66	978	7261	7.424335378323108
67	968	7142	7.378099173553719
68	982	7133	7.263747454175153
69	972	7190	7.397119341563786
70	993	7339	7.390735146022155
71	954	7141	7.485324947589098
72	1009	7334	7.268582755203171
73	1041	7349	7.059558117195005
74	1002	7226	7.211576846307385
75	981	7280	7.4209989806320085
76	993	7292	7.343403826787513
77	953	7027	7.373557187827912
78	1006	7254	7.210735586481113
79	968	7276	7.516528925619835
80	1021	7299	7.148873653281097
81	962	7170	7.453222453222454
82	929	7035	7.572658772874058
83	1046	7306	6.984703632887189
84	1007	7309	7.258192651439921
85	1009	7279	7.214073339940535
86	932	7057	7.5718884120171674
87	944	7043	7.460805084745763
88	1000	7249	7.249
89	1010	7324	7.251485148514852
90	1026	7282	7.097465886939571
91	994	7275	7.318913480885312
92	1032	7298	7.071705426356589
93	1014	7299	7.1982248520710055
94	955	7266	7.608376963350786
95	1025	7216	7.04
96	995	7346	7.382914572864322
97	971	7259	7.475798146240988
98	1011	7223	7.144411473788328
99	974	7169	7.360369609856263
