FeatureID,FeatureName,Cluster 1 Average,Cluster 1 Log2 Fold Change,Cluster 1 P-Value,Cluster 2 Average,Cluster 2 Log2 Fold Change,Cluster 2 P-Value,Cluster 3 Average,Cluster 3 Log2 Fold Change,Cluster 3 P-Value,Cluster 4 Average,Cluster 4 Log2 Fold Change,Cluster 4 P-Value,Cluster 5 Average,Cluster 5 Log2 Fold Change,Cluster 5 P-Value,Cluster 6 Average,Cluster 6 Log2 Fold Change,Cluster 6 P-Value,Cluster 7 Average,Cluster 7 Log2 Fold Change,Cluster 7 P-Value,Cluster 8 Average,Cluster 8 Log2 Fold Change,Cluster 8 P-Value,Cluster 9 Average,Cluster 9 Log2 Fold Change,Cluster 9 P-Value,Cluster 10 Average,Cluster 10 Log2 Fold Change,Cluster 10 P-Value,Cluster 11 Average,Cluster 11 Log2 Fold Change,Cluster 11 P-Value,Cluster 12 Average,Cluster 12 Log2 Fold Change,Cluster 12 P-Value,Cluster 13 Average,Cluster 13 Log2 Fold Change,Cluster 13 P-Value,Cluster 14 Average,Cluster 14 Log2 Fold Change,Cluster 14 P-Value
IRF8_MA0652.1,IRF8,10.02761695,0.007134839,0.352707944,10.09274355,-0.004438625,0.410357374,9.748140367,0.029554439,0.045832561,9.820158575,-0.028133148,0.048686336,9.766169226,-0.022205484,0.179495902,9.868007171,0.028760253,0.122079927,10.88109408,0.033820336,0.091536655,9.69254374,-0.105895577,3.83E-05,9.73924532,-0.078100626,0.00290192,10.43236409,0.062197257,0.004197846,10.21702528,0.029803671,0.143221685,11.17299534,0.060166371,0.081663766,11.93776251,0.065238709,0.113766206,10.12414821,0.00895377,0.438548474
Nkx2-5_MA0063.1,Nkx2-5,1327.513734,-0.034773097,9.96E-45,1192.46123,0.063103561,1.39E-143,1376.457964,-0.037043488,8.86E-54,1386.460447,0.053436537,1.56E-116,1308.531093,-0.016477914,9.42E-09,1336.960433,-0.004497401,0.098053552,1321.911923,-0.003708011,0.151175821,1330.460345,-0.00861003,0.022109749,1334.835529,0.00182973,0.338758479,1273.625295,-0.068912245,2.76E-97,1338.612236,0.005251994,0.086164344,1386.661228,0.021490652,8.52E-05,1596.083325,0.067009458,5.25E-22,1261.74674,-0.047052996,5.08E-12
Hoxd8_MA0910.1,Hoxd8,1967.768977,-0.040071261,8.47E-32,1690.532525,0.0875619,1.39E-143,2086.708415,-0.064813521,1.36E-83,2080.995659,0.069010547,1.25E-99,1942.333365,-0.015260698,0.000129497,1989.879996,-0.01346149,0.002060084,1956.448964,-0.004311213,0.201996957,1971.916609,-0.008573465,0.085955953,1986.425076,0.012963009,0.009072278,1843.387363,-0.104102107,2.68E-113,2005.708442,0.021723348,6.01E-06,2110.426125,0.036258232,2.25E-06,2424.128127,0.07666131,3.33E-15,1826.980073,-0.067734821,2.12E-12
Sox5_MA0087.1,Sox5,2499.223849,-0.019505974,2.24E-19,2272.189399,0.054897415,3.57E-140,2603.003375,-0.044844435,4.91E-99,2591.99078,0.046551537,2.26E-113,2483.045562,-0.00773529,0.001984057,2514.822996,-0.007321132,0.007631419,2481.696053,-0.003913279,0.107321725,2501.478384,-0.005461181,0.085955953,2511.00036,0.005972126,0.043868479,2375.839153,-0.079055165,7.44E-162,2539.550411,0.020218627,3.87E-11,2601.167338,0.020721614,1.98E-05,2906.79705,0.055707536,1.47E-19,2366.549569,-0.048391462,1.78E-15
NFATC2_MA0152.1,NFATC2,840.9684976,-0.033858599,5.18E-52,765.5659964,0.055973099,3.66E-140,868.5863504,-0.032765556,3.03E-52,875.131963,0.049667204,1.47E-125,841.9165603,-0.003061929,0.152315251,846.7892958,-0.004412405,0.07864512,850.5442835,0.002721113,0.20791777,841.1792224,-0.014727084,2.57E-06,842.8067615,-0.007054937,0.023377283,813.2186614,-0.05715212,7.30E-84,843.440123,-0.00264762,0.231920937,875.2978818,0.019560631,6.14E-05,958.8571601,0.046977822,3.19E-14,805.6873475,-0.039983759,3.97E-11
FOXL1_MA0033.2,FOXL1,1453.475037,-0.013303725,5.19E-10,1322.082258,0.054301626,9.44E-140,1526.029051,-0.055584771,1.72E-152,1497.945354,0.039585906,5.93E-85,1457.60892,0.00089582,0.380220766,1463.970459,-0.01072056,9.62E-05,1516.066207,0.016431645,6.30E-09,1452.043057,-0.009188426,0.004362879,1463.335817,0.014135302,1.03E-05,1375.544788,-0.084739038,2.13E-188,1475.876244,0.020418554,1.65E-11,1505.318898,0.018405614,0.0001108,1687.528403,0.055055496,1.22E-19,1354.676802,-0.060979679,1.01E-24
Dlx2_MA0885.1,Dlx2,1002.094725,-0.026329178,6.77E-14,858.4634171,0.087942716,4.73E-137,1068.732559,-0.073228861,1.39E-99,1054.939984,0.065645478,4.13E-86,989.6286394,-0.013636346,0.000816116,1013.324167,-0.015737022,0.000554009,1025.556189,0.008015426,0.055121487,1003.117441,-0.007807385,0.110404486,1009.541616,0.011191824,0.023578013,933.310213,-0.110542106,2.73E-120,1016.258934,0.016045178,0.001000453,1071.542392,0.035235884,7.64E-06,1178.469951,0.05958419,1.77E-09,931.3055145,-0.065257268,3.26E-11
FOXD2_MA0847.1,FOXD2,1538.895538,-0.013451534,4.83E-10,1400.80634,0.053847002,4.11E-135,1615.639805,-0.05545434,3.76E-149,1586.593557,0.04002739,4.33E-85,1543.677716,0.001110516,0.353637568,1550.105839,-0.010838292,9.62E-05,1608.018361,0.017132954,1.96E-09,1537.304381,-0.009373124,0.003919996,1549.276119,0.013989272,1.39E-05,1456.767093,-0.084343241,1.27E-183,1562.431753,0.020223793,3.87E-11,1593.450543,0.018282476,0.000144901,1772.586769,0.052137765,1.69E-17,1434.343207,-0.060990197,2.27E-24
FOXP3_MA0850.1,FOXP3,1538.895538,-0.013451534,4.83E-10,1400.80634,0.053847002,4.11E-135,1615.639805,-0.05545434,3.76E-149,1586.593557,0.04002739,4.33E-85,1543.677716,0.001110516,0.353637568,1550.105839,-0.010838292,9.62E-05,1608.018361,0.017132954,1.96E-09,1537.304381,-0.009373124,0.003919996,1549.276119,0.013989272,1.39E-05,1456.767093,-0.084343241,1.27E-183,1562.431753,0.020223793,3.87E-11,1593.450543,0.018282476,0.000144901,1772.586769,0.052137765,1.69E-17,1434.343207,-0.060990197,2.27E-24
NKX6-2_MA0675.1,NKX6-2,617.48559,-0.043200057,2.08E-34,536.192112,0.082349307,1.20E-121,658.3272623,-0.070102088,1.54E-92,654.3607617,0.071911945,2.32E-104,615.383513,-0.007942883,0.038828844,622.9696404,-0.006090098,0.107950555,612.8167112,-0.005509111,0.140019503,620.2029371,-0.004757668,0.227086192,622.4365954,0.005980457,0.152065624,583.555082,-0.092620393,1.45E-86,630.9869545,0.023943132,1.11E-06,641.7896721,0.018182263,0.015480819,738.6478249,0.06458793,5.29E-11,568.671486,-0.074968092,1.44E-14
