,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
HINFP,0.00237116597807083,0.203549054410432,0.497,0.441,1,0.0715748468452106
STAT3,0.00313648621857229,0.157150204623418,0.49,0.41,1,0.0715748468452106
NEUROD1,0.00329900978203165,0.178065913130154,0.553,0.453,1,0.0715748468452106
FLI1,0.00459257128689463,0.164262035696003,0.474,0.397,1,0.0715748468452106
ELF2,0.00470749449668139,0.163811119654551,0.474,0.399,1,0.0715748468452106
ZNF684,0.00660603609509514,0.144472145718157,0.508,0.431,1,0.0715748468452106
POU4F2,0.00698352696079701,0.120634111715611,0.524,0.429,1,0.0715748468452106
ESX1,0.00723224311948356,0.165114649954527,0.503,0.437,1,0.0715748468452106
GCM2,0.00770176196627375,0.16921958014035,0.51,0.424,1,0.0715748468452106
MEF2C,0.00892316498639674,0.149126490581017,0.517,0.449,1,0.0715748468452106
ELK3,0.0089873067800474,0.151516191551572,0.433,0.378,1,0.0715748468452106
GLIS1,0.00914695174535027,0.172277488959405,0.483,0.424,1,0.0715748468452106
PAX6,0.0101590817405473,0.17731812502489,0.494,0.425,1,0.0715748468452106
BARHL1,0.0105807752251947,0.173995971151245,0.517,0.462,1,0.0715748468452106
SOX14,0.011143222050053,0.159047808054417,0.533,0.438,1,0.0715748468452106
NR1H4::RXRA,0.0112274269561115,0.144181219247534,0.503,0.432,1,0.0715748468452106
POU4F1,0.013131168048293,0.125503811742437,0.53,0.451,1,0.0753632068863151
KLF11,0.0135459127025423,0.119761418464271,0.411,0.354,1,0.0753632068863151
EGR1,0.0140382444199999,0.128015747710145,0.456,0.372,1,0.0753632068863151
KLF16,0.01486814126565,0.108896926082142,0.429,0.378,1,0.0758275204548148
KLF10,0.016412192273836,0.126119322232627,0.458,0.401,1,0.0797163624729177
NRF1,0.0190066808989914,0.180278590159999,0.449,0.376,1,0.0881218841680509
BARHL2,0.0213932557263608,0.145306291688465,0.515,0.454,1,0.0887704270560538
FEV,0.0220510386690889,0.140178624683998,0.449,0.4,1,0.0887704270560538
NFYA,0.0222925519599587,-0.132952130034785,0.411,0.474,1,0.0887704270560538
ELF4,0.023465640733455,0.141662728634083,0.485,0.41,1,0.0887704270560538
ELK1,0.0236043849961574,0.148396413550931,0.422,0.374,1,0.0887704270560538
