,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
IRF2,0.00360658805975237,0.303142046605229,0.458,0.384,1,0.978588542726891
IRF1,0.00519926740239321,0.305454766521559,0.427,0.353,1,0.978588542726891
NEUROD1,0.0160869002853192,-0.173261284905719,0.476,0.554,1,0.978588542726891
ZFP42,0.0179633197468028,0.176049035512461,0.556,0.487,1,0.978588542726891
VAX1,0.0230545363585937,-0.15741784794687,0.406,0.5,1,0.978588542726891
VAX2,0.0230545363585937,-0.15741784794687,0.406,0.5,1,0.978588542726891
DRGX,0.0230545363585937,-0.15741784794687,0.406,0.5,1,0.978588542726891
GSX2,0.0230545363585937,-0.15741784794687,0.406,0.5,1,0.978588542726891
ZNF460,0.0236827539614422,0.16055279964581,0.51,0.482,1,0.978588542726891
NEUROG2(var.2),0.0418311448208451,-0.153532863747032,0.441,0.545,1,0.978588542726891
EOMES,0.0439454189191892,-0.159876609243031,0.465,0.536,1,0.978588542726891
MEOX1,0.0468818392326656,-0.15216426104468,0.455,0.54,1,0.978588542726891
DPRX,0.0470833361113803,-0.193974675348417,0.441,0.554,1,0.978588542726891
HOXA6,0.0487909742933684,-0.160762403300407,0.441,0.518,1,0.978588542726891
REL,0.0494884400702983,0.167589393083565,0.545,0.46,1,0.978588542726891
LEF1,0.0544562956486289,0.20262656593285,0.528,0.473,1,0.978588542726891
PPARD,0.0545323480564479,-0.147576172891371,0.51,0.576,1,0.978588542726891
HNF4G,0.0553747872275035,-0.176834417187166,0.524,0.567,1,0.978588542726891
NR2F6(var.3),0.0583689031017544,-0.179040088077518,0.458,0.549,1,0.978588542726891
CTCF,0.0586109018753511,-0.208115690560624,0.472,0.549,1,0.978588542726891
TFE3,0.0596692115627881,-0.137029938995877,0.476,0.585,1,0.978588542726891
SPIB,0.0638016689075738,0.39171491857631,0.423,0.348,1,0.978588542726891
FIGLA,0.0644108758098065,0.155645676211971,0.549,0.442,1,0.978588542726891
TCFL5,0.0649368673719691,-0.12881034243079,0.437,0.478,1,0.978588542726891
PRDM4,0.0668959044949038,-0.145771109320508,0.42,0.504,1,0.978588542726891
POU3F1,0.0718157612854936,-0.137609229285102,0.448,0.509,1,0.978588542726891
ZNF140,0.0784553586758525,0.166588521163731,0.549,0.464,1,0.978588542726891
RFX1,0.0785581185488668,-0.126526213078751,0.437,0.531,1,0.978588542726891
POU3F2,0.0800082904017883,-0.135654363211738,0.441,0.513,1,0.978588542726891
SNAI2,0.0803218546189294,0.174335089414572,0.538,0.469,1,0.978588542726891
RELA,0.0809519779845862,0.141970850338139,0.584,0.469,1,0.978588542726891
HOXC8,0.0809519779845862,-0.144541455626657,0.441,0.473,1,0.978588542726891
SOX4,0.0829738880683872,-0.149198599193414,0.416,0.482,1,0.978588542726891
THRB,0.0852560371671389,-0.15080195361124,0.476,0.531,1,0.978588542726891
EMX2,0.0873643207199247,-0.149471661564531,0.448,0.518,1,0.978588542726891
IRF3,0.0884907263487678,0.225424952556492,0.458,0.411,1,0.978588542726891
