,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
IRF4,0.000229051653949369,-0.355098874093284,0.343,0.487,0.14498969694995,0.0483298989833168
PPARD,0.00152381481773255,-0.242473963103294,0.425,0.576,0.964574779624705,0.0739690940833238
RFX1,0.00170316950883398,-0.264580671801781,0.377,0.531,1,0.0739690940833238
IRF9,0.0017292485800407,-0.283906771207661,0.317,0.464,1,0.0739690940833238
STAT1::STAT2,0.00179024256984042,-0.27338137025708,0.257,0.393,1,0.0739690940833238
IRF8,0.0021033865616111,-0.299974868629711,0.351,0.451,1,0.0739690940833238
GCM2,0.0030198550487463,-0.270399135835106,0.433,0.554,1,0.0910270593264957
NR1H4::RXRA,0.00351619094135828,-0.207923537193489,0.407,0.549,1,0.0927395360783246
OVOL2,0.00942093948111791,0.221247638268304,0.571,0.469,1,0.213194932714167
HOXC4,0.01077521771941,-0.241924080109734,0.451,0.549,1,0.213194932714167
IRF7,0.0111144277718286,-0.230216715952755,0.388,0.464,1,0.213194932714167
IRF6,0.0139383366590396,-0.241102948382142,0.418,0.513,1,0.232319555061145
POU6F1,0.0143135270890753,-0.22479046334479,0.451,0.531,1,0.232319555061145
OVOL1,0.0162978201228183,0.202832306503925,0.537,0.46,1,0.245631431851047
JUN::JUNB(var.2),0.0181424526045891,-0.196418610137523,0.489,0.603,1,0.255203833304553
TCF7,0.0206510454082435,0.169112293602786,0.549,0.469,1,0.272335661321212
NFE2L1,0.0278743263741887,-0.287139751292962,0.433,0.536,1,0.284573243113644
HNF4G,0.0297845763027827,-0.206073816197978,0.504,0.567,1,0.284573243113644
FIGLA,0.0319078810892092,0.198138582206753,0.549,0.442,1,0.284573243113644
NEUROD1,0.0322142347396963,-0.170252523219953,0.466,0.554,1,0.284573243113644
GATA1::TAL1,0.0327304256050724,-0.342532067131156,0.31,0.326,1,0.284573243113644
LHX6,0.0357538296341278,-0.184243025689906,0.459,0.558,1,0.284573243113644
NHLH1,0.0367175272852287,-0.152855789446913,0.388,0.473,1,0.284573243113644
MEF2D,0.0385916422824985,-0.179099022116548,0.381,0.487,1,0.284573243113644
JUND,0.0389519418460346,-0.410586411004279,0.414,0.487,1,0.284573243113644
CEBPG(var.2),0.0418103134929026,0.300441063432238,0.56,0.487,1,0.284573243113644
NEUROG2(var.2),0.0425195521591615,-0.16689837439949,0.481,0.545,1,0.284573243113644
NFIB,0.0432389393107157,-0.159410961953324,0.422,0.513,1,0.284573243113644
JUNB(var.2),0.0435030721485101,-0.141861162826594,0.463,0.576,1,0.284573243113644
SNAI2,0.0443036619708106,0.230857714004331,0.541,0.469,1,0.284573243113644
SOX15,0.0458729036377712,-0.163657887332611,0.414,0.491,1,0.284573243113644
