,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
JDP2,5.90292711585851e-05,-0.639750904860901,0.37,0.518,0.0373655286433844,0.0138713285741322
NFE2,8.68102278842363e-05,-0.624607641261418,0.349,0.5,0.0549508742507216,0.0138713285741322
FOS,8.74621942783066e-05,-0.7772200457601,0.343,0.478,0.0553635689781681,0.0138713285741322
JUND,0.000107181506518963,-0.739278736045894,0.332,0.487,0.0678458936265037,0.0138713285741322
FOS::JUNB,0.000163746093221305,-0.754841969685583,0.356,0.478,0.103651277009086,0.0138713285741322
FOSL2::JUNB,0.000168133800522592,-0.719890600965838,0.367,0.518,0.106428695730801,0.0138713285741322
JUN(var.2),0.000184157317760774,-0.727409231400145,0.363,0.482,0.11657158214257,0.0138713285741322
FOSL2::JUN,0.000219045378774389,-0.721686808973115,0.346,0.464,0.138655724764188,0.0138713285741322
BATF3,0.000219045378774389,-0.657052843530024,0.367,0.491,0.138655724764188,0.0138713285741322
FOSL2::JUND,0.000260068914080214,-0.739378166792505,0.346,0.487,0.164623622612775,0.0138713285741322
BATF::JUN,0.000266219479738193,-0.693284790421551,0.36,0.491,0.168516930674276,0.0138713285741322
FOSL1,0.000266219479738193,-0.742830785858247,0.349,0.482,0.168516930674276,0.0138713285741322
BATF,0.00030466715648796,-0.68568373245522,0.367,0.487,0.192854310056879,0.0138713285741322
FOSL2,0.000306790837342575,-0.737319427316777,0.374,0.478,0.19419860003785,0.0138713285741322
FOSL1::JUN,0.000399466154682718,-0.702067256128873,0.325,0.482,0.25286207591416,0.0168574717276107
JUNB,0.000475493090839696,-0.707481991001772,0.36,0.487,0.300987126501527,0.0188116954063455
FOSB::JUNB,0.000531872896956485,-0.701003368721739,0.349,0.509,0.336675543773455,0.0194700761244392
IRF4,0.000553651453775523,-0.319034030345077,0.346,0.487,0.350461370239906,0.0194700761244392
FOS::JUND,0.000606396195128239,-0.721132591596555,0.353,0.478,0.383848791516175,0.0202025679745355
FOS::JUN,0.000677042935279098,-0.676067132758871,0.339,0.478,0.428568178031669,0.0206785003342776
JUN::JUNB,0.000686016598767505,-0.566845430504813,0.336,0.464,0.434248507019831,0.0206785003342776
FOSL1::JUNB,0.000804422185584127,-0.701422006114405,0.367,0.469,0.509199243474753,0.0231454201579433
BACH2,0.00116474146731442,-0.585444998507994,0.343,0.46,0.737281348810025,0.0320557108178272
FOSL1::JUND,0.00235485334600094,-0.564678377666935,0.37,0.455,1,0.0621092570007749
MAFK,0.00296704296343988,-0.353907905579525,0.384,0.504,1,0.0735176600809442
ZKSCAN1,0.00301968272054431,0.247529748426231,0.588,0.46,1,0.0735176600809442
NFE2L1,0.00365059038946883,-0.338041769994247,0.398,0.536,1,0.0855860635753249
IRF8,0.00421994692603605,-0.268279740712699,0.343,0.451,1,0.0954009430064578
DUXA,0.00447446525366671,0.257726256143814,0.581,0.496,1,0.0976667760541734
NFIA,0.00539310800220369,0.246066145244523,0.574,0.46,1,0.111765183456728
ATF4,0.00547349239677499,0.348224498883831,0.588,0.473,1,0.111765183456728
CEBPG(var.2),0.00796734526149209,0.388599618786106,0.592,0.487,1,0.15760404845389
NFIL3,0.00914437090748784,0.297415821280977,0.588,0.496,1,0.17540566013454
STAT1::STAT2,0.0103124577817383,-0.277000581397981,0.249,0.393,1,0.191993699289421
BACH1,0.0106199003941305,-0.482072299200938,0.391,0.442,1,0.192068484270988
ONECUT1,0.0112400560679291,0.183632943311001,0.561,0.487,1,0.197637652527754
NR1H2::RXRA,0.0128570805083736,-0.237679028679856,0.453,0.554,1,0.214385585323081
FOSB::JUNB(var.2),0.0131199255668559,-0.199902807748266,0.439,0.558,1,0.214385585323081
MAFA,0.0132085905649292,-0.268571140714356,0.453,0.527,1,0.214385585323081
MEOX2,0.014725498674656,0.212972651746031,0.567,0.455,1,0.233031016526431
CEBPA,0.0154504284504031,0.36100998319641,0.626,0.513,1,0.238539541685491
HLF,0.0163670302347468,0.307739141890209,0.571,0.513,1,0.246674527109398
FIGLA,0.0168292292415635,0.240169561272274,0.567,0.442,1,0.247741909532784
HOXC4,0.0181672056628835,-0.204540580115718,0.467,0.549,1,0.261360026922847
JUN::JUNB(var.2),0.0189772202736911,-0.177652481796222,0.484,0.603,1,0.266946231849921
SOX9,0.0211922690609651,0.227244601274525,0.578,0.504,1,0.283578813435447
SNAI2,0.0212596997417761,0.24334767337831,0.554,0.469,1,0.283578813435447
MAF::NFE2,0.0220486849463923,-0.224881069610889,0.412,0.522,1,0.283578813435447
FOSL1::JUN(var.2),0.0222235353363006,-0.185387478923519,0.45,0.571,1,0.283578813435447
NR2F6(var.3),0.0223995903187557,-0.225837094803965,0.464,0.549,1,0.283578813435447
PPARD,0.0251895799719133,-0.20156312816838,0.491,0.576,1,0.312647139651395
SRY,0.0265504121571809,0.211501367596732,0.55,0.464,1,0.31412084116127
TBX4,0.026797038582478,0.186101815708306,0.599,0.527,1,0.31412084116127
TBX5,0.026797038582478,0.186101815708306,0.599,0.527,1,0.31412084116127
DBP,0.0274222760016002,0.220049755102745,0.592,0.509,1,0.315605467436599
JUNB(var.2),0.0291958557672867,-0.160266417530054,0.495,0.576,1,0.330017441083794
NR1H4::RXRA,0.0301419001015794,-0.156592991631142,0.446,0.549,1,0.334733732707014
POU6F1,0.0319688465653992,-0.225391520132244,0.464,0.531,1,0.34890137717065
THAP11,0.0336884342038088,-0.166386592146319,0.439,0.518,1,0.361436929678152
ATF7,0.0373658523333636,-0.160570134594267,0.46,0.549,1,0.394209742116986
RORB,0.0426526299340724,-0.166195119568812,0.464,0.562,1,0.43476462991484
TEF,0.0432082967228274,0.234048681434978,0.564,0.513,1,0.43476462991484
PAX7,0.0432704134038466,-0.157278191790395,0.446,0.571,1,0.43476462991484
IRF9,0.0463420102985793,-0.164401710691752,0.381,0.464,1,0.458351445609386
SP2,0.0477424610775997,0.145761571054804,0.481,0.411,1,0.464938120955701
HNF4G,0.0495951536359079,-0.180750054267299,0.495,0.567,1,0.475662609871662
SOX21,0.0506502322829312,0.148403430677963,0.581,0.509,1,0.478531299031276
TFCP2,0.055365445428377,-0.145983779350143,0.453,0.527,1,0.510025168571412
NKX2-5,0.0555951605551777,0.169292397287246,0.516,0.469,1,0.510025168571412
FOSB::JUN,0.0566776893554229,-0.17391841987238,0.488,0.545,1,0.510753918484586
DUX4,0.0573828209795702,0.181008761933853,0.522,0.46,1,0.510753918484586
PAX6,0.0580952324342657,0.177905804896831,0.55,0.491,1,0.510753918484586
CEBPD,0.0591372330021162,0.274718891719246,0.619,0.554,1,0.512792719045748
POU1F1,0.060523209809626,0.204768051140749,0.516,0.442,1,0.517718808236395
ZFP42,0.0633759738843142,0.150718485321505,0.55,0.487,1,0.523146313924135
OVOL2,0.0645825062130373,0.171688141146401,0.522,0.469,1,0.523146313924135
HOXB4,0.0664277950249476,-0.183077102731022,0.46,0.5,1,0.523146313924135
SNAI3,0.0669629266462995,0.196396191869829,0.561,0.504,1,0.523146313924135
HOXB6,0.0671420905890494,0.165078731787574,0.557,0.446,1,0.523146313924135
ZKSCAN5,0.0673216489133349,-0.16444793508627,0.329,0.362,1,0.523146313924135
HOXD4,0.0676819511408422,-0.137002393911394,0.446,0.518,1,0.523146313924135
SOX8,0.0682253775633252,0.14663631073933,0.581,0.482,1,0.523146313924135
MAX::MYC,0.0692309753035394,-0.175580544115397,0.495,0.567,1,0.523146313924135
NR4A2::RXRA,0.0695996523027666,-0.213169475164763,0.474,0.545,1,0.523146313924135
MYBL1,0.0702487151398917,0.169304885696203,0.522,0.455,1,0.523146313924135
THRB,0.0728948110432226,-0.157704543212741,0.498,0.531,1,0.529791485462676
CEBPB,0.0740535537527598,0.214178554998599,0.581,0.5,1,0.529791485462676
ESR2,0.0744431308642537,-0.149922348728556,0.446,0.536,1,0.529791485462676
