,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
JDP2,1.26057135422366e-06,0.923961696414295,0.541,0.301,0.00079794166722358,0.000352623247153111
JUN::JUNB,3.70100997426046e-06,0.940973196129748,0.527,0.317,0.00234273931370687,0.000352623247153111
JUND,4.27239593862179e-06,1.01915275399289,0.493,0.293,0.00270442662914759,0.000352623247153111
JUN(var.2),5.04118804910085e-06,1.0743057882884,0.493,0.309,0.00319107203508084,0.000352623247153111
JUNB,6.57560199347298e-06,0.987219470027806,0.493,0.309,0.00416235606186839,0.000352623247153111
FOS,6.68739611524714e-06,1.09395857931539,0.498,0.333,0.00423312174095144,0.000352623247153111
FOSL1,1.15209126191397e-05,0.984163105764862,0.527,0.325,0.00729273768791543,0.000352623247153111
FOSL2::JUND,1.21694617145255e-05,1.01148132906407,0.512,0.317,0.00770326926529461,0.000352623247153111
MAFK,1.22361996397413e-05,0.610901604283528,0.498,0.293,0.00774551437195623,0.000352623247153111
FOSB::JUNB,1.29937479944342e-05,1.01658377970554,0.483,0.309,0.00822504248047683,0.000352623247153111
FOSL1::JUN,1.32079939316072e-05,1.00039114043308,0.512,0.301,0.00836066015870736,0.000352623247153111
ZKSCAN5,1.40227568448999e-05,0.544167397395134,0.454,0.293,0.00887640508282164,0.000352623247153111
FOSL2::JUN,1.51292061139254e-05,1.03669330346864,0.512,0.293,0.00957678747011478,0.000352623247153111
FOSL2::JUNB,1.57131744361944e-05,0.979670773521421,0.498,0.317,0.00994643941811106,0.000352623247153111
TP63,1.58839300519419e-05,-0.491168581136022,0.478,0.642,0.0100545277228792,0.000352623247153111
FOS::JUN,2.21461108606358e-05,0.994313734594991,0.507,0.293,0.0140184881747825,0.000457975544610193
FOSL1::JUNB,2.43655432558998e-05,1.01324261914425,0.502,0.293,0.0154233888809846,0.000457975544610193
FOS::JUND,2.47554348437942e-05,1.03049469256756,0.512,0.317,0.0156701902561217,0.000457975544610193
BATF,3.03958284337009e-05,0.958799704136403,0.531,0.341,0.0192405593985327,0.000532726887811705
FOS::JUNB,3.23639671367308e-05,0.995750762061623,0.507,0.317,0.0204863911975506,0.000538860052826568
BACH2,3.86190443978592e-05,0.902313040276722,0.464,0.309,0.0244458551038449,0.000607687353197396
FOSL2,4.13012024032519e-05,0.999638041402245,0.512,0.341,0.0261436611212584,0.000607687353197396
BATF::JUN,4.32606188598589e-05,0.951477265263713,0.527,0.333,0.0273839717382907,0.000607687353197396
FOSL1::JUND,4.55410809149064e-05,0.906185901902632,0.498,0.35,0.0288275042191357,0.000607687353197396
BATF3,4.57752945765044e-05,0.879518325798748,0.522,0.325,0.0289757614669273,0.000607687353197396
NFE2,4.74470606100069e-05,0.827591265918931,0.488,0.309,0.0300339893661344,0.000607687353197396
STAT1::STAT2,4.9428509433997e-05,0.637660554592808,0.425,0.203,0.0312882464717201,0.000609618283019297
BACH1,6.56595231305872e-05,0.739578242948808,0.507,0.341,0.0415624781416617,0.000780879328660197
SPIB,0.000124263955587784,0.816424412033957,0.406,0.244,0.0786590838870674,0.00142689300726662
MEF2B,0.000196866476118753,0.455804238736757,0.551,0.366,0.12461647938317,0.00218521788491816
NFIL3,0.000373216564449784,-0.534159092547719,0.488,0.602,0.236246085296713,0.00400906825683155
SPI1,0.000457232984901972,0.57187748522634,0.42,0.268,0.289428479442948,0.00475808074913615
NFE2L1,0.000522715922362157,0.496895597231338,0.493,0.341,0.330879178855245,0.00527467885292722
