,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
ZBTB7B,0.000346645939898216,-0.38279913585901,0.395,0.553,0.219426879955571,0.219426879955571
HLF,0.00209053934628543,-0.487960199182274,0.438,0.585,1,0.389750022784378
ZNF24,0.002348303875571,-0.303502218275495,0.364,0.569,1,0.389750022784378
ZIC4,0.0028433151609363,-0.321366776636534,0.426,0.52,1,0.389750022784378
CEBPD,0.00324463319068193,-0.666796318735412,0.481,0.683,1,0.389750022784378
CEBPE,0.00422513596811241,-0.53551233491536,0.444,0.626,1,0.389750022784378
CEBPG(var.2),0.00490879624353119,-0.601180063546069,0.42,0.553,1,0.389750022784378
TAL1::TCF3,0.00497565994776054,-0.323297305450371,0.401,0.585,1,0.389750022784378
ZIC1,0.00661288442394535,-0.313219650328031,0.414,0.528,1,0.389750022784378
NFIL3,0.00699944636008625,-0.405255954752296,0.42,0.561,1,0.389750022784378
ZIC3,0.00743833137232162,-0.282260509444783,0.401,0.528,1,0.389750022784378
CUX2,0.00743833137232162,-0.293070158983327,0.42,0.561,1,0.389750022784378
CEBPB,0.00800434485971077,-0.486508741267718,0.438,0.618,1,0.389750022784378
BHLHA15(var.2),0.0101515230502621,-0.278952140382808,0.383,0.48,1,0.458993863629709
ATF4,0.0123346414984569,-0.472974544741112,0.444,0.52,1,0.502171362583967
CEBPG,0.0126931150100213,-0.395658918974466,0.42,0.585,1,0.502171362583967
DBP,0.0148641362989884,-0.277175657813438,0.42,0.561,1,0.541983347480305
JUN,0.0157825348178553,-0.334670354125952,0.463,0.634,1,0.541983347480305
BARHL1,0.0166184769322173,0.336789475682942,0.5,0.382,1,0.541983347480305
ZBTB7C,0.0173559298578107,-0.268589924575494,0.469,0.602,1,0.541983347480305
ONECUT3,0.0179804902007684,-0.258517003735565,0.432,0.553,1,0.541983347480305
CEBPA,0.0195148879873548,-0.550133037441316,0.512,0.585,1,0.561496549817983
TCF12(var.2),0.0231047508346283,-0.263460260377049,0.414,0.537,1,0.635882925144337
THRB(var.2),0.0246381487713808,-0.256870848793906,0.414,0.553,1,0.647703868249329
ZIC5,0.0255807214948392,-0.232646518952686,0.42,0.504,1,0.647703868249329
JDP2,0.029236804450309,0.355630814745689,0.549,0.455,1,0.695917779934724
REST,0.0299976764545383,-0.226682161680943,0.457,0.528,1,0.695917779934724
YY1,0.0315705913523453,-0.154924419609695,0.438,0.61,1,0.695917779934724
GLIS2,0.0320327871035366,-0.218412418558606,0.426,0.528,1,0.695917779934724
LEF1,0.0341851105177588,-0.242693563949343,0.432,0.52,1,0.695917779934724
TCF3,0.0343082246797894,-0.253019008209031,0.42,0.512,1,0.695917779934724
NKX2-8,0.0351806776586274,0.237870119429538,0.469,0.382,1,0.695917779934724
TFAP2E,0.0385888967448379,-0.205933185163148,0.426,0.455,1,0.740205201196436
ATOH1(var.2),0.0399724976414988,-0.290567332211052,0.401,0.488,1,0.744193853149081
JUN::JUNB,0.0456201296068722,0.27904415491451,0.562,0.455,1,0.783768850130278
HNF4A(var.2),0.04705206228937,-0.23304305615567,0.481,0.528,1,0.783768850130278
ZNF282,0.0485216170327166,-0.176869820110546,0.451,0.569,1,0.783768850130278
ZNF274,0.0498600628955069,-0.223750771806054,0.444,0.553,1,0.783768850130278
MIXL1,0.051750857487079,-0.213448469148178,0.426,0.488,1,0.783768850130278
NEUROG2,0.05352146897172,-0.220611776984537,0.42,0.52,1,0.783768850130278
SOX12,0.05352146897172,-0.225517256427756,0.377,0.463,1,0.783768850130278
XBP1,0.0546079168675445,0.200844683701769,0.512,0.309,1,0.783768850130278
EOMES,0.0585563337713052,0.180598623529784,0.506,0.39,1,0.783768850130278
SNAI3,0.05953059613998,-0.257007678682017,0.444,0.553,1,0.783768850130278
NRF1,0.0625343756933502,-0.19546962373786,0.37,0.431,1,0.783768850130278
