,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
ONECUT3,0.000834491028998651,-0.27523721433933,0.453,0.572,0.528232821356146,0.528232821356146
ONECUT1,0.00322009039219182,-0.276203146929561,0.461,0.572,1,0.828394046176743
KLF10,0.00396085653520728,0.24754908572526,0.458,0.355,1,0.828394046176743
BARHL1,0.00523471751138542,0.271513490417053,0.53,0.377,1,0.828394046176743
PAX6,0.0086617633979828,0.29587534606348,0.496,0.406,1,0.987967417537015
SOX14,0.0162551528110293,0.239979678805746,0.542,0.435,1,0.987967417537015
PAX5,0.0174871396613471,0.211912513850661,0.468,0.406,1,0.987967417537015
HOXA7,0.0185857341129996,-0.260061197058047,0.492,0.565,1,0.987967417537015
HOXB8,0.0185857341129996,-0.260061197058047,0.492,0.565,1,0.987967417537015
HOXD8,0.0185857341129996,-0.260061197058047,0.492,0.565,1,0.987967417537015
ONECUT2,0.0206958804972215,-0.207076860897273,0.477,0.572,1,0.987967417537015
ETV4,0.026159332000819,-0.226837924752654,0.506,0.58,1,0.987967417537015
GABPA,0.0264066144545618,-0.208699074088627,0.484,0.587,1,0.987967417537015
KLF16,0.0311200409696726,0.14228927755437,0.439,0.377,1,0.987967417537015
TBXT,0.0340952799933877,-0.186497703451931,0.465,0.558,1,0.987967417537015
ELF1,0.0373660544829269,-0.177783936714531,0.484,0.587,1,0.987967417537015
E2F4,0.0375335778470851,0.272588703622311,0.463,0.399,1,0.987967417537015
RELA,0.0390702545016678,-0.185534626798038,0.403,0.507,1,0.987967417537015
MEF2A,0.039535702809302,0.15733134448629,0.516,0.391,1,0.987967417537015
EBF3,0.0432418743743148,-0.178389590826101,0.437,0.514,1,0.987967417537015
ELF5,0.0460938894024963,-0.208034108154958,0.489,0.587,1,0.987967417537015
ZNF382,0.047169528556583,0.172575866718354,0.496,0.413,1,0.987967417537015
TBX18,0.0472374512628928,-0.148562726545587,0.415,0.5,1,0.987967417537015
HINFP,0.0480589597061397,0.205787930897647,0.494,0.413,1,0.987967417537015
GLIS1,0.0505958292531183,0.212469963096618,0.499,0.413,1,0.987967417537015
ZNF528,0.050667869550492,-0.124345161923021,0.434,0.536,1,0.987967417537015
ETV5,0.0542282332933334,-0.192770080514983,0.434,0.536,1,0.987967417537015
TBX19,0.058075701451199,-0.189487125716177,0.458,0.543,1,0.987967417537015
ELF3,0.0609605986717104,-0.176501048680726,0.499,0.609,1,0.987967417537015
HNF1B,0.0630066457182793,-0.164987380572594,0.415,0.478,1,0.987967417537015
SREBF2(var.2),0.0635269334693067,0.212086687565245,0.527,0.457,1,0.987967417537015
NR1I2,0.0652869210969303,-0.16924658386937,0.449,0.522,1,0.987967417537015
IKZF1,0.0664523324820491,-0.171780778238554,0.506,0.587,1,0.987967417537015
GCM2,0.0674517847560079,0.195344206077189,0.513,0.391,1,0.987967417537015
TBX2,0.0715740173509023,-0.136395193416914,0.427,0.536,1,0.987967417537015
