,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
GATA1,4.51494981286606e-05,-0.665092931965324,0.299,0.471,0.0285796323154422,0.0146735868918147
ATOH1(var.2),0.000571055471049034,-0.397155733103688,0.368,0.606,0.361478113174038,0.092796514045468
KLF2,0.00359399827324508,-0.312550935923364,0.291,0.385,1,0.221740222182537
GATA3,0.00394844471955166,-0.730815159204261,0.231,0.327,1,0.221740222182537
NR6A1,0.00413731784236613,0.338585353541734,0.564,0.394,1,0.221740222182537
BATF3,0.00531318815249077,-0.642592898143216,0.325,0.442,1,0.221740222182537
HES2,0.00616396304833372,-0.385295274314007,0.436,0.577,1,0.221740222182537
GATA6,0.0075043863070985,-0.674431504293211,0.231,0.337,1,0.221740222182537
ESR2,0.00944239734988561,-0.330521780908603,0.385,0.519,1,0.221740222182537
HEY1,0.00991597676660971,-0.392731053167298,0.41,0.567,1,0.221740222182537
BATF,0.00991597676660971,-0.638486066962465,0.325,0.433,1,0.221740222182537
SREBF2,0.0106660519154874,-0.389775655259378,0.402,0.577,1,0.221740222182537
BHLHE41,0.011261294506521,-0.324517742664303,0.41,0.577,1,0.221740222182537
CEBPA,0.011261294506521,0.591081211528896,0.675,0.558,1,0.221740222182537
ETV3,0.011744467251016,-0.240254658968189,0.359,0.462,1,0.221740222182537
KLF3,0.0127662922537806,-0.298939737414282,0.308,0.433,1,0.221740222182537
BATF::JUN,0.0137039650083234,-0.621669405803754,0.342,0.413,1,0.221740222182537
PKNOX1,0.0147879405307296,-0.307337371609094,0.427,0.567,1,0.221740222182537
SOHLH2,0.0149612464826389,-0.304485765463763,0.444,0.596,1,0.221740222182537
STAT3,0.0162252805618891,-0.28697891748842,0.368,0.548,1,0.221740222182537
GATA2,0.0163190592740244,-0.619511955232401,0.239,0.356,1,0.221740222182537
MYF5,0.0170865900869915,-0.29783301637891,0.393,0.519,1,0.221740222182537
ERF,0.0181935801630185,-0.331672352946977,0.402,0.481,1,0.221740222182537
TFAP2C(var.3),0.0185061807541654,-0.285423968519242,0.359,0.538,1,0.221740222182537
CLOCK,0.0186114204189231,-0.300655946191645,0.436,0.567,1,0.221740222182537
ZNF384,0.0192539217877857,-0.275787358136369,0.342,0.481,1,0.221740222182537
PAX1,0.0193628692599995,-0.360785046353095,0.436,0.567,1,0.221740222182537
SMAD2::SMAD3::SMAD4,0.0195823812742201,-0.256003513736773,0.419,0.577,1,0.221740222182537
MAX,0.0204823106109157,-0.259517690489318,0.436,0.529,1,0.221740222182537
CEBPB,0.0209456511563848,0.487537106872364,0.684,0.538,1,0.221740222182537
NFIX,0.0215376516035018,-0.25556962000194,0.487,0.577,1,0.221740222182537
CEBPE,0.0221441662473265,0.493420670982518,0.667,0.558,1,0.221740222182537
ETV6,0.0225151610216115,-0.286864367211805,0.385,0.529,1,0.221740222182537
NR1H2::RXRA,0.0237910996815475,-0.277880759319515,0.393,0.596,1,0.224366451457739
PLAG1,0.0241859131639493,-0.252054957617679,0.385,0.538,1,0.224366451457739
PAX5,0.0252666345352981,-0.259911791465014,0.359,0.471,1,0.224366451457739
SOX14,0.0255432575505734,0.285189551731819,0.462,0.346,1,0.224366451457739
NR1I3,0.0263889029143399,-0.301665049235122,0.325,0.481,1,0.22569456439896
BHLHA15(var.2),0.0283044729950163,-0.301772412636453,0.496,0.587,1,0.235870608291803
HNF1A,0.0292282491793538,0.246177149896572,0.521,0.356,1,0.237479524582249
MNT,0.031153844710311,-0.277419445649521,0.385,0.577,1,0.246951208069538
NEUROD1,0.0324972147272277,-0.232742447482899,0.419,0.558,1,0.251466542532119
CEBPD,0.0346051741078445,0.529952215567733,0.684,0.577,1,0.256942002500903
PAX6,0.0347859941847376,-0.350073556895977,0.436,0.558,1,0.256942002500903
ZNF382,0.0374034061722217,-0.298943410464752,0.427,0.548,1,0.268116610972325
ETV2,0.0383779636569059,-0.30171700370918,0.333,0.49,1,0.268116610972325
GATA4,0.0387737868175362,-0.597016979125224,0.256,0.308,1,0.268116610972325
HOXA1,0.0427101259366089,-0.264076777828072,0.393,0.519,1,0.274039902609336
HOXA5,0.0427101259366089,-0.264076777828072,0.393,0.519,1,0.274039902609336
HOXB5,0.0427101259366089,-0.264076777828072,0.393,0.519,1,0.274039902609336
ARNT2,0.0440213362897395,-0.310722277145545,0.436,0.51,1,0.274039902609336
BHLHE40,0.044243142067688,-0.276881009877339,0.444,0.529,1,0.274039902609336
NHLH1,0.0446895841178302,-0.281557021759238,0.41,0.5,1,0.274039902609336
POU1F1,0.0460517715695681,-0.263981800182808,0.436,0.519,1,0.276225624065389
JDP2,0.046745874841835,-0.341738429191969,0.342,0.452,1,0.276225624065389
BHLHE22(var.2),0.0488812118911243,-0.313021217117299,0.462,0.538,1,0.281476745972476
GATA5,0.0493666908320958,-0.557384422876423,0.222,0.365,1,0.281476745972476
KLF10,0.0503497901000384,-0.271910407589912,0.333,0.462,1,0.282132444526077
SPIC,0.0513492437196525,-0.316634329750782,0.547,0.606,1,0.282856003540459
SIX1,0.0549790155678294,-0.312975762466408,0.487,0.5,1,0.297803000992409
CEBPG(var.2),0.0560545501467091,0.312775704387997,0.658,0.587,1,0.298651291765254
JUN(var.2),0.0579788831729189,-0.443842906619534,0.376,0.442,1,0.301985202905502
CEBPG,0.0585386701016818,0.450066799258278,0.573,0.529,1,0.301985202905502
NR1H4::RXRA,0.0599578005952811,-0.231742903206386,0.453,0.548,1,0.302493913843731
HOXA2,0.0622876768339386,-0.239742293207242,0.419,0.519,1,0.302493913843731
E2F7,0.0637815240359471,0.205019783152635,0.462,0.308,1,0.302493913843731
ZBTB7A,0.0637815240359471,-0.229611611041886,0.427,0.51,1,0.302493913843731
SPIB,0.0640838166979249,-0.26415324384563,0.393,0.462,1,0.302493913843731
ZNF263,0.065304840273977,-0.155280707543142,0.419,0.51,1,0.302493913843731
PAX9,0.0674877696566077,-0.242846769952908,0.453,0.577,1,0.302493913843731
TFAP2A(var.3),0.067804462790204,-0.233036469266798,0.462,0.548,1,0.302493913843731
HOXC13,0.0681223773078633,0.244272205743074,0.479,0.365,1,0.302493913843731
MYOG,0.0737169930362809,-0.253547050100491,0.462,0.587,1,0.302493913843731
HLF,0.0740574571121173,0.407762802435877,0.607,0.548,1,0.302493913843731
HEY2,0.0747422412285363,-0.270618526938665,0.444,0.538,1,0.302493913843731
ZNF410,0.0775332778361198,-0.233632528071048,0.419,0.529,1,0.302493913843731
HNF4A(var.2),0.0778880510418917,-0.214102594660118,0.385,0.5,1,0.302493913843731
PDX1,0.0786015631442844,-0.235299539720818,0.47,0.577,1,0.302493913843731
EMX1,0.0786015631442844,-0.235299539720818,0.47,0.577,1,0.302493913843731
HOXB2,0.0786015631442844,-0.235299539720818,0.47,0.577,1,0.302493913843731
HOXD3,0.0786015631442844,-0.235299539720818,0.47,0.577,1,0.302493913843731
MGA,0.0789603087002994,-0.197742287146216,0.462,0.519,1,0.302493913843731
