,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
CEBPG(var.2),1.60231348826923e-05,0.854760891630706,0.646,0.477,0.0101426443807442,0.00581868382558392
ATF4,2.11221043802422e-05,0.656959113859979,0.632,0.411,0.0133702920726933,0.00581868382558392
CEBPA,2.75767005951845e-05,0.827885087535719,0.701,0.49,0.0174560514767518,0.00581868382558392
CEBPD,0.000205652870289821,0.819029830755967,0.674,0.503,0.130178266893457,0.0325445667233641
ETV6,0.00104130430259579,-0.423057720414318,0.382,0.517,0.659145623543135,0.10929080395054
FOSL2,0.00120303719333261,-0.746531275736263,0.319,0.483,0.761522543379539,0.10929080395054
ZKSCAN5,0.00124992553028852,-0.412797346430943,0.389,0.543,0.791202860672635,0.10929080395054
SPIB,0.00140754543916675,-0.588127567320379,0.375,0.49,0.89097626299255,0.10929080395054
STAT1::STAT2,0.00155389768650056,-0.470408531191279,0.312,0.517,0.983617235554856,0.10929080395054
FOSL2::JUND,0.00218850674266885,-0.599050013396004,0.34,0.47,1,0.110139409471796
BATF,0.00269473775932714,-0.58771406745106,0.326,0.49,1,0.110139409471796
SPI1,0.00275577126408203,-0.42244588914394,0.403,0.536,1,0.110139409471796
FOSL1::JUND,0.0028688230003903,-0.627451365186232,0.333,0.47,1,0.110139409471796
RFX3,0.00289451370648005,-0.37803867934928,0.396,0.55,1,0.110139409471796
FOSB::JUNB,0.00293344368129098,-0.597473890184932,0.34,0.477,1,0.110139409471796
FOSL1::JUN,0.00299939012211361,-0.637652857879165,0.312,0.477,1,0.110139409471796
JUND,0.00313535689898162,-0.584083381652647,0.312,0.457,1,0.110139409471796
CTCF,0.00323385164378277,0.491297050324934,0.514,0.391,1,0.110139409471796
FOS::JUNB,0.00330592224322925,-0.629457604703297,0.333,0.497,1,0.110139409471796
BATF::JUN,0.00354648909739499,-0.584625054061175,0.333,0.47,1,0.110374637712583
FOS::JUND,0.00380287915056398,-0.65974960485709,0.326,0.477,1,0.110374637712583
FOSL1::JUNB,0.00383608535493969,-0.581922211129936,0.347,0.503,1,0.110374637712583
FOS,0.00440445740789938,-0.645194907398791,0.354,0.47,1,0.111518721959154
FOSL1,0.00442338954748397,-0.622767239530237,0.347,0.464,1,0.111518721959154
FOSL2::JUN,0.00451916111267973,-0.641100586027563,0.347,0.477,1,0.111518721959154
BATF3,0.00473650264295352,-0.593334161732037,0.354,0.483,1,0.111518721959154
JUNB,0.00475672273759426,-0.556247637935084,0.319,0.497,1,0.111518721959154
FOSL2::JUNB,0.00506954435515196,-0.598167594088436,0.312,0.45,1,0.112069304687262
HOXD13,0.00513429673922687,0.298067818771263,0.507,0.384,1,0.112069304687262
BCL6B,0.00570365468790806,0.307435104839033,0.562,0.444,1,0.12034711391486
CEBPE,0.00678942726541816,0.508625831067561,0.639,0.53,1,0.138635724484184
JUN(var.2),0.00780074200399095,-0.561505198362164,0.347,0.47,1,0.15122837585252
NOTO,0.00812285115163614,-0.302852773317933,0.41,0.543,1,0.15122837585252
HOXA9,0.00812285115163614,0.313249434903831,0.542,0.404,1,0.15122837585252
FOS::JUN,0.00887374320733574,-0.568536457046819,0.333,0.483,1,0.158666238239549
THRB(var.3),0.00957150462379344,-0.30569359066596,0.396,0.53,1,0.158666238239549
EGR4,0.00987965112670196,-0.274880886900702,0.375,0.517,1,0.158666238239549
NFIL3,0.00999746551196975,0.360767265065386,0.556,0.437,1,0.158666238239549
ELK1,0.0106055094214137,0.273831465199785,0.444,0.318,1,0.158666238239549
NFE2,0.0109003556286243,-0.536800489999892,0.319,0.457,1,0.158666238239549
MSX1,0.0109430659001081,0.259082014670094,0.562,0.43,1,0.158666238239549
MSX2,0.0109430659001081,0.259082014670094,0.562,0.43,1,0.158666238239549
BSX,0.0109430659001081,0.259082014670094,0.562,0.43,1,0.158666238239549
TFAP2A(var.3),0.011028932831817,0.22816889750748,0.535,0.397,1,0.158666238239549
CEBPB,0.0123430182387946,0.47025639994011,0.639,0.556,1,0.173423734385209
BACH2,0.012680281448438,-0.467221256007143,0.375,0.464,1,0.173423734385209
ZNF341,0.0128766437853157,0.270784894709176,0.562,0.417,1,0.173423734385209
ZNF282,0.0134305806202363,0.281386128706442,0.472,0.338,1,0.177115781929366
FOSB::JUN,0.014601976454322,-0.261742896966701,0.396,0.53,1,0.179768736326142
CEBPG,0.014880440958939,0.468484785751634,0.611,0.543,1,0.179768736326142
SPIC,0.0149366920129978,-0.363748034978856,0.41,0.51,1,0.179768736326142
IRF1,0.0149931303214835,-0.256848730321362,0.368,0.497,1,0.179768736326142
VENTX,0.0151635739563664,0.302946503213175,0.465,0.358,1,0.179768736326142
MYB,0.0153357215823249,0.291074129256464,0.514,0.384,1,0.179768736326142
FOXE1,0.0167759578721366,0.217599967348246,0.486,0.358,1,0.1930760242375
ELF1,0.0188802381447939,-0.271170318547141,0.389,0.53,1,0.21295204888587
GATA3,0.0194410759173119,-0.404613827510701,0.25,0.311,1,0.21295204888587
JUN::JUNB(var.2),0.0195121940527338,-0.304940813345511,0.417,0.53,1,0.21295204888587
BARX1,0.0203835008484012,0.281981547889181,0.535,0.411,1,0.218690780288779
GATA6,0.0217540655556495,-0.40499973249989,0.215,0.338,1,0.224951236953567
JDP2,0.0221487337057216,-0.465833460829574,0.368,0.437,1,0.224951236953567
SOX2,0.0221487337057216,0.258902317182305,0.535,0.404,1,0.224951236953567
GABPA,0.0223885117347152,-0.260619302945535,0.451,0.576,1,0.224951236953567
NKX6-3,0.0232041440302009,0.240113678238028,0.542,0.397,1,0.227360242818836
PRRX1,0.0237058073081251,-0.222886437270734,0.431,0.543,1,0.227360242818836
UNCX,0.0237058073081251,-0.222886437270734,0.431,0.543,1,0.227360242818836
JUNB(var.2),0.0246499939101127,-0.290296147577621,0.465,0.523,1,0.232887255897035
HLF,0.0250898298864345,0.360555923091389,0.604,0.477,1,0.23355679879578
BARX2,0.0263576966762954,0.206614784484742,0.535,0.444,1,0.24180321733471
EGR3,0.0272016719466367,-0.206853823327169,0.34,0.437,1,0.244207806916867
JUN::JUNB,0.0275841956765917,-0.437045776126435,0.319,0.457,1,0.244207806916867
EGR2,0.0277771913080796,-0.19216871026995,0.375,0.503,1,0.244207806916867
FOS::JUN(var.2),0.0282647816434284,-0.286232217298353,0.403,0.503,1,0.245090503839592
ZNF410,0.0293635009659911,0.264239703475279,0.41,0.331,1,0.250410197468248
RARA::RXRA,0.0296694546763327,-0.262363373879642,0.403,0.517,1,0.250410197468248
GLIS1,0.0303940255030702,0.231396692766979,0.479,0.391,1,0.253150238729519
ZNF140,0.0355439366359481,0.263367126052186,0.507,0.391,1,0.2769529045224
EHF,0.0356636925106284,-0.292438418996075,0.424,0.523,1,0.2769529045224
FOXG1,0.0357837923923888,0.246879731564465,0.556,0.417,1,0.2769529045224
ZEB1,0.0357837923923888,0.204408247487428,0.514,0.397,1,0.2769529045224
NR1H2::RXRA,0.0360250272325405,-0.230608929255352,0.375,0.497,1,0.2769529045224
LHX2,0.0365116586576654,0.240756254763972,0.521,0.43,1,0.2769529045224
RFX2,0.0370038800425751,-0.25777019455662,0.41,0.464,1,0.2769529045224
TFE3,0.0375017407474753,0.213481562809532,0.569,0.437,1,0.2769529045224
ATF6,0.0375017407474753,-0.231405940803197,0.465,0.563,1,0.2769529045224
TEAD4,0.0376270928735014,0.203488306019512,0.465,0.411,1,0.2769529045224
ZBTB7C,0.0383867158713095,0.213667472222228,0.542,0.444,1,0.279296449960217
ZNF143,0.0391593354298503,0.208490379671341,0.549,0.444,1,0.281680219626082
GATA2,0.0399451211667122,-0.389763543884159,0.257,0.305,1,0.284104064028414
MYBL1,0.0415568751700618,0.204494960860733,0.514,0.384,1,0.292283355362768
KLF2,0.0421062195929889,-0.183361903319623,0.312,0.417,1,0.292571563349905
GATA4,0.0425222493336355,-0.370426007276835,0.264,0.325,1,0.292571563349905
TCFL5,0.0479455303867407,0.237607742994741,0.528,0.397,1,0.326338932632332
MAFA,0.0490343627601153,-0.26399550257018,0.493,0.589,1,0.330199485395244
KLF4,0.0496658182381379,-0.144027515072441,0.326,0.47,1,0.330931188892014
BARHL2,0.0512743514380915,0.231989156932594,0.556,0.437,1,0.338090254794916
GATA1,0.052094834265725,-0.307456354988049,0.333,0.391,1,0.339959073094886
SPDEF,0.0535993761193768,0.250548385217972,0.486,0.377,1,0.342509235286721
SOX18,0.0535993761193768,0.195140849072612,0.597,0.464,1,0.342509235286721
PHOX2B,0.0541088839315514,0.181175440143684,0.493,0.377,1,0.342509235286721
ELF3,0.0547945093156342,-0.262015741012811,0.444,0.55,1,0.343415093037589
RXRG,0.0556617141789595,-0.212693678786531,0.34,0.477,1,0.345128886917813
POU4F3,0.0565403234661734,0.220169200153943,0.479,0.43,1,0.345128886917813
POU4F2,0.0588788597929544,0.229870713706763,0.5,0.437,1,0.345128886917813
PAX4,0.0592456644334207,-0.216526098048098,0.417,0.523,1,0.345128886917813
TLX2,0.0592456644334207,-0.216526098048098,0.417,0.523,1,0.345128886917813
LHX9,0.0592456644334207,-0.216526098048098,0.417,0.523,1,0.345128886917813
PRRX2,0.0592456644334207,-0.216526098048098,0.417,0.523,1,0.345128886917813
FOSL2::JUNB(var.2),0.0594297767362427,-0.209718264783947,0.451,0.53,1,0.345128886917813
ETV3,0.0601709796413419,0.215453614191034,0.451,0.358,1,0.346256637390631
IRF5,0.0647807833165637,-0.223804653058383,0.41,0.503,1,0.369425548102566
IRF4,0.0705232146971818,-0.185528596596342,0.396,0.517,1,0.396245601627342
BACH1,0.0707357867044071,-0.389156066329127,0.389,0.464,1,0.396245601627342
RFX5,0.0744305993582692,-0.219640184508037,0.347,0.437,1,0.410914771299746
TEF,0.0746527625584057,0.240325356514521,0.556,0.497,1,0.410914771299746
RFX1,0.0773612095073775,-0.218305634281968,0.382,0.497,1,0.422152117398017
GBX2,0.0785131104548057,0.200392649492278,0.507,0.377,1,0.424776059127282
IRF8,0.0810964491753962,-0.16616400294866,0.424,0.576,1,0.426743905453257
POU4F1,0.0810964491753962,0.191066020841316,0.486,0.417,1,0.426743905453257
HOXA6,0.0815734795574156,0.152740975757397,0.5,0.364,1,0.426743905453257
MSGN1,0.0815734795574156,-0.18649756826775,0.451,0.57,1,0.426743905453257
MAF,0.0822932916281421,-0.17913423077027,0.479,0.589,1,0.426980767218147
TBX21,0.0835044161669231,-0.164849646553874,0.368,0.49,1,0.427521894992738
ZIC3,0.0837483648958919,0.169613990131474,0.507,0.424,1,0.427521894992738
HOXA4,0.0854722049791507,-0.20228404120332,0.403,0.483,1,0.432831246014419
IRF9,0.0905559502782384,-0.214283035811747,0.41,0.47,1,0.447827472860351
HOXB6,0.0905559502782384,0.15491668442798,0.493,0.404,1,0.447827472860351
TEAD1,0.0905559502782384,0.159027167142155,0.458,0.437,1,0.447827472860351
KLF9,0.0913390757225985,-0.119250300369109,0.333,0.444,1,0.448198720406239
TEAD2,0.0923917016303162,0.188111672311417,0.542,0.49,1,0.448607673695493
SIX1,0.0934540475650429,-0.200163712758486,0.403,0.457,1,0.448607673695493
TFEB,0.0937211595742946,0.193712255186031,0.493,0.411,1,0.448607673695493
IKZF1,0.0942572205394953,-0.223838847812226,0.444,0.51,1,0.448607673695493
BACH2(var.2),0.0950659178801508,-0.180377898007372,0.444,0.576,1,0.449080044911459
GATA1::TAL1,0.0972496371325147,-0.295308164953931,0.243,0.258,1,0.455209784171848
FOXA3,0.0978017861727824,0.188506425732005,0.472,0.371,1,0.455209784171848
TFEC,0.0994732744608806,0.144356066027077,0.521,0.404,1,0.459610092946988
RORA,0.100883522930282,-0.10612183976577,0.368,0.497,1,0.462748333441076
RARA(var.2),0.103462074065572,-0.15888895302828,0.451,0.536,1,0.471161819305805
TP53,0.10491708031186,-0.17875306742043,0.493,0.589,1,0.474375084552911
RARA,0.105797851303622,-0.182056345676096,0.438,0.517,1,0.474964821809877
KLF3,0.106684477044255,-0.150155611335536,0.306,0.444,1,0.475572351894461
FERD3L,0.108475388500618,-0.211896357313816,0.431,0.53,1,0.477499356098689
RFX4,0.109682487583029,-0.195618981832631,0.382,0.417,1,0.477499356098689
HES5,0.111513014484309,0.152308084528888,0.549,0.424,1,0.477499356098689
TP63,0.113367564070971,-0.173687077723135,0.458,0.51,1,0.477499356098689
FOXI1,0.115561819565647,0.175408604060994,0.507,0.397,1,0.477499356098689
FOXL1,0.115561819565647,0.175408604060994,0.507,0.397,1,0.477499356098689
FOXO4,0.115561819565647,0.175408604060994,0.507,0.397,1,0.477499356098689
FOXO6,0.115561819565647,0.175408604060994,0.507,0.397,1,0.477499356098689
FOXP3,0.115561819565647,0.175408604060994,0.507,0.397,1,0.477499356098689
OLIG3,0.116194844539125,0.195814716125052,0.507,0.43,1,0.477499356098689
KLF11,0.116512377179936,-0.132876467779917,0.306,0.371,1,0.477499356098689
