,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
ERG,0.00219315634715272,0.249459676598204,0.544,0.43,1,0.211743653296897
FOXC1,0.0100557402394381,0.208603143369596,0.59,0.457,1,0.211743653296897
SOX18,0.0100963470555484,0.215426736344585,0.565,0.439,1,0.211743653296897
ZNF682,0.0119628775403714,0.196167715977884,0.573,0.466,1,0.211743653296897
STAT1,0.0132242356082913,0.232857742108976,0.481,0.395,1,0.211743653296897
GATA6,0.0132242356082913,0.447051655503604,0.406,0.287,1,0.211743653296897
HOXA4,0.0134324182077828,0.238732716382752,0.527,0.413,1,0.211743653296897
THRB(var.2),0.0135112302210893,-0.25282896646695,0.452,0.529,1,0.211743653296897
STAT3,0.0138844468958636,0.225658119799668,0.464,0.372,1,0.211743653296897
FOXC2,0.0141291513928783,0.220759132760575,0.552,0.462,1,0.211743653296897
ETS1,0.0141565743299541,0.187878009965643,0.544,0.386,1,0.211743653296897
ZNF354C,0.0185953525620695,0.199533869701664,0.527,0.448,1,0.211743653296897
GATA1::TAL1,0.0190536538014932,0.504519717396932,0.389,0.291,1,0.211743653296897
BCL6B,0.0209483040297096,0.221414146600066,0.561,0.448,1,0.211743653296897
GBX1,0.0214172645080914,0.229978447256557,0.519,0.422,1,0.211743653296897
FLI1,0.0221784846147028,0.199936970849362,0.51,0.417,1,0.211743653296897
ATF2,0.0223008036019035,0.211641342545445,0.469,0.408,1,0.211743653296897
MAX::MYC,0.0236855019290634,-0.188445343369062,0.485,0.556,1,0.211743653296897
PHOX2B,0.0244717797579646,0.162896018045175,0.473,0.404,1,0.211743653296897
HOXD4,0.0250988717318052,0.210073506788692,0.515,0.43,1,0.211743653296897
TEAD4,0.0255552685013496,-0.137785884545177,0.46,0.601,1,0.211743653296897
GRHL2,0.0305281497494344,0.181250421421448,0.523,0.471,1,0.241449911654617
KLF13,0.032966898894244,0.225263825494942,0.49,0.417,1,0.247145947955899
NFIC,0.0347836215447537,0.204179577901168,0.527,0.435,1,0.247145947955899
ERF,0.03550947528102,0.199714223045974,0.502,0.413,1,0.247145947955899
MEIS2(var.2),0.0375725345346968,0.19312021633708,0.519,0.43,1,0.251446961886048
TCF7L1,0.0453509150437844,0.177785871091704,0.552,0.43,1,0.261382444235045
ETV2,0.0461070982917526,0.170656847313649,0.527,0.422,1,0.261382444235045
KLF10,0.0474169739406598,0.142553075369876,0.519,0.413,1,0.261382444235045
RORA(var.2),0.0507053053109103,0.140568039923368,0.515,0.435,1,0.261382444235045
EN1,0.0510361074296186,0.1781058359071,0.552,0.502,1,0.261382444235045
ETS2,0.0521237199191644,0.175162026251086,0.519,0.462,1,0.261382444235045
RFX3,0.0549719201060278,0.211562734067827,0.523,0.457,1,0.261382444235045
LMX1A,0.0557708465396185,-0.173397133349375,0.464,0.52,1,0.261382444235045
MEF2C,0.0568511058460854,0.155122752302329,0.49,0.426,1,0.261382444235045
NR1D1,0.057672677704222,-0.198615785400332,0.485,0.556,1,0.261382444235045
MNT,0.0584112269777079,-0.161397869640126,0.51,0.587,1,0.261382444235045
CEBPE,0.0619299281511207,-0.331977355694477,0.51,0.587,1,0.261382444235045
KLF2,0.064003882097431,0.135738728635235,0.502,0.435,1,0.261382444235045
FOXH1,0.0654181290217161,0.179284647928485,0.536,0.457,1,0.261382444235045
SOX9,0.0681129335246665,-0.189856142523521,0.46,0.502,1,0.261382444235045
GATA5,0.0688538537436964,0.356759033846363,0.381,0.278,1,0.261382444235045
SOX8,0.0698161831415562,-0.148590453764486,0.506,0.565,1,0.261382444235045
LHX6,0.0721045978999681,0.192961698384039,0.51,0.422,1,0.261382444235045
FOXB1,0.0747947732501916,0.16717898557003,0.531,0.444,1,0.261382444235045
ATF3,0.0759396160547439,0.164884828587031,0.502,0.413,1,0.261382444235045
ZNF449,0.0779186325013144,0.153060229672818,0.544,0.484,1,0.261382444235045
ZKSCAN1,0.0807838275461724,0.184998507738573,0.565,0.475,1,0.261382444235045
BARHL2,0.0816354402150818,0.186199768706807,0.523,0.475,1,0.261382444235045
RFX4,0.0826176156352439,0.161223330536418,0.523,0.475,1,0.261382444235045
LBX2,0.0856217289432217,0.157905064043902,0.556,0.484,1,0.261382444235045
TP53,0.0856217289432217,-0.195590302653137,0.473,0.543,1,0.261382444235045
PITX3,0.0860033737901867,0.117515253293688,0.544,0.466,1,0.261382444235045
FOXN3,0.0865143702993713,-0.164689797569165,0.423,0.516,1,0.261382444235045
DBP,0.0879322617852996,-0.185683670242223,0.431,0.516,1,0.261382444235045
MAX,0.0905582200036951,-0.14159582106804,0.552,0.596,1,0.261382444235045
ZBTB32,0.0908242495873858,-0.120082553241284,0.444,0.552,1,0.261382444235045
FOXD2,0.0933829970009988,0.1496211895702,0.54,0.453,1,0.261382444235045
HSF1,0.0950286311765731,0.160449110082775,0.494,0.448,1,0.261382444235045
ELK4,0.0966974164053438,0.143724784054861,0.515,0.395,1,0.261382444235045
PAX4,0.0968375333514209,0.181135841200085,0.49,0.439,1,0.261382444235045
TLX2,0.0968375333514209,0.181135841200085,0.49,0.439,1,0.261382444235045
LHX9,0.0968375333514209,0.181135841200085,0.49,0.439,1,0.261382444235045
PRRX2,0.0968375333514209,0.181135841200085,0.49,0.439,1,0.261382444235045
CTCFL,0.0985316326898056,0.130000816767263,0.523,0.48,1,0.261382444235045
ELF5,0.102136987237335,-0.229274809669318,0.439,0.52,1,0.261382444235045
HES2,0.103756249064544,-0.142589197431377,0.456,0.583,1,0.261382444235045
EN2,0.104201388405531,0.146466995750489,0.54,0.466,1,0.261382444235045
NFATC3,0.10479726581139,0.156626253325613,0.54,0.475,1,0.261382444235045
ZBTB7A,0.108736671531179,0.143220863796879,0.46,0.408,1,0.261382444235045
ZBTB18,0.108890495228627,-0.135093229842354,0.473,0.552,1,0.261382444235045
HOXD12,0.108890495228627,0.171594717709957,0.54,0.498,1,0.261382444235045
RFX1,0.111688859293441,0.176876879723939,0.473,0.426,1,0.261382444235045
GATA4,0.114063909347814,0.342937647234078,0.385,0.296,1,0.261382444235045
INSM1,0.114223649084608,0.123553721767245,0.494,0.426,1,0.261382444235045
CEBPB,0.114543656802239,-0.288549310380019,0.51,0.583,1,0.261382444235045
HOXB4,0.115669242563784,0.149432840344015,0.452,0.448,1,0.261382444235045
RFX5,0.118274657704898,0.133155636284136,0.519,0.422,1,0.26384346718785
POU4F3,0.123453419073147,0.179178449407482,0.481,0.457,1,0.271910062262375
NR1I3,0.126713956916264,0.145445443257065,0.523,0.466,1,0.271966442772977
GFI1,0.127408852508969,-0.158853105161454,0.427,0.471,1,0.271966442772977
USF1,0.130041141564707,-0.129101697312747,0.393,0.475,1,0.271966442772977
PROP1,0.130218117278915,0.13179144852774,0.544,0.484,1,0.271966442772977
ELF2,0.131462185375597,-0.165956617159161,0.477,0.502,1,0.271966442772977
SOX10,0.13470352507013,0.160579372538145,0.473,0.471,1,0.271966442772977
ZEB1,0.137082661798029,0.110847827325846,0.531,0.453,1,0.271966442772977
BACH2(var.2),0.137636269253275,0.132873475190408,0.506,0.439,1,0.271966442772977
PROX1,0.139494081569031,0.156035591178621,0.498,0.422,1,0.271966442772977
HIF1A,0.139867949728953,0.126340099772916,0.51,0.417,1,0.271966442772977
ZNF16,0.140805993263221,0.10819876268698,0.527,0.453,1,0.271966442772977
POU4F1,0.143458250501675,0.15587825257791,0.506,0.489,1,0.271966442772977
RUNX2,0.146730171129852,0.134012968783015,0.531,0.466,1,0.271966442772977
TCF4,0.146730171129852,0.158410413834944,0.54,0.484,1,0.271966442772977
TEF,0.146924400118735,-0.135178138839703,0.477,0.578,1,0.271966442772977
RHOXF1,0.149467301778133,0.133923247655138,0.552,0.516,1,0.27198169600889
HEY1,0.150058866763525,-0.121769424091231,0.473,0.511,1,0.27198169600889
PLAGL2,0.153444846685248,-0.108494966234369,0.485,0.578,1,0.272170872652217
GATA2,0.153645816677745,0.364121783713737,0.377,0.274,1,0.272170872652217
