,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
NFYB,0.00550224233561471,-0.204401099198102,0.478,0.549,1,0.857036546510829
RARG(var.3),0.00639323256094259,0.243848203870952,0.49,0.427,1,0.857036546510829
ALX3,0.00953131710487053,0.177971342494718,0.51,0.399,1,0.857036546510829
GMEB2,0.0105249245466404,0.213416601003369,0.539,0.432,1,0.857036546510829
SOX14,0.0142758119869731,0.190830175931849,0.503,0.408,1,0.857036546510829
NR2F1(var.3),0.0143667232044919,0.218324676248282,0.522,0.441,1,0.857036546510829
MITF,0.0152561676871379,0.180724028876071,0.516,0.423,1,0.857036546510829
NR2C2,0.0155795514907147,-0.16384796381793,0.446,0.512,1,0.857036546510829
BCL6,0.0168291089934341,0.175546951528099,0.497,0.437,1,0.857036546510829
TFCP2,0.0186188395948224,0.185659860344293,0.486,0.385,1,0.857036546510829
PBX1,0.0225226851754381,0.193020132307248,0.478,0.427,1,0.857036546510829
ZFP42,0.0226581987855748,-0.144784294427963,0.45,0.535,1,0.857036546510829
HIF1A,0.0229084814084452,-0.212097375394373,0.493,0.563,1,0.857036546510829
ARGFX,0.0252960814825895,0.160472730898833,0.507,0.441,1,0.857036546510829
NFATC2,0.0255462850435018,0.176498303013776,0.411,0.362,1,0.857036546510829
ZNF682,0.025925603963206,-0.165925933769756,0.446,0.493,1,0.857036546510829
ARNT::HIF1A,0.0270400917096978,-0.164717502877619,0.474,0.568,1,0.857036546510829
ATF4,0.0290269132781021,0.260135878851944,0.562,0.507,1,0.857036546510829
TAL1::TCF3,0.031527599884681,0.151496619199076,0.51,0.446,1,0.857036546510829
SP4,0.0317693481334311,0.126221577686507,0.482,0.404,1,0.857036546510829
LHX2,0.0322269118409123,0.175759206389635,0.505,0.437,1,0.857036546510829
ISL2,0.0370177533935029,0.177101055579271,0.499,0.437,1,0.857036546510829
SCRT2,0.0394679275618744,0.150185367381101,0.526,0.437,1,0.857036546510829
NR4A2::RXRA,0.03972401754324,0.163065789639475,0.484,0.451,1,0.857036546510829
HOXD4,0.0400923055790802,-0.151124017311611,0.467,0.54,1,0.857036546510829
RXRA::VDR,0.0404262371694552,-0.117872298554475,0.463,0.516,1,0.857036546510829
CTCF,0.0459734606137875,0.178504774438591,0.552,0.479,1,0.857036546510829
PRRX1,0.0461397468042052,0.165328058245208,0.505,0.427,1,0.857036546510829
UNCX,0.0461397468042052,0.165328058245208,0.505,0.427,1,0.857036546510829
ATF6,0.0465996474047764,-0.161922688712873,0.47,0.531,1,0.857036546510829
NR2F6(var.3),0.047488356578417,0.175414809739285,0.488,0.427,1,0.857036546510829
NFYC,0.0477020417500253,-0.156509670313761,0.434,0.484,1,0.857036546510829
ZNF449,0.0481749953030015,0.15968949649236,0.537,0.493,1,0.857036546510829
RXRB(var.2),0.0493966820951094,0.15454988754527,0.501,0.451,1,0.857036546510829
RARB(var.3),0.0495733125629746,0.182710366928666,0.543,0.474,1,0.857036546510829
CDX4,0.0539739957348552,-0.162230413938309,0.495,0.559,1,0.857036546510829
PAX3(var.2),0.0562446579248364,0.133197480399334,0.499,0.446,1,0.857036546510829
RXRG(var.2),0.0562938210362229,0.140036160251274,0.476,0.423,1,0.857036546510829
SOX12,0.0576849807516899,0.169287979213304,0.495,0.446,1,0.857036546510829
TCF7L2,0.058391207451129,-0.132466091577196,0.476,0.502,1,0.857036546510829
CDX1,0.0586451655442235,-0.157463162672656,0.474,0.549,1,0.857036546510829
ZBTB32,0.0649098654507687,0.155760316612837,0.478,0.446,1,0.857036546510829
TFAP2B(var.3),0.066080675755452,-0.111892148753364,0.459,0.498,1,0.857036546510829
SHOX,0.0667008688992753,0.130340046815503,0.505,0.432,1,0.857036546510829
SREBF2(var.2),0.0694050072759813,0.145500457971446,0.514,0.441,1,0.857036546510829
TFEB,0.0710583399747816,0.128369409472927,0.545,0.479,1,0.857036546510829
DLX6,0.0728654577958374,0.154034378431849,0.486,0.469,1,0.857036546510829
HOXB4,0.0747721490896965,-0.134153699566296,0.446,0.512,1,0.857036546510829
TP53,0.0754584361061315,-0.138773795198391,0.509,0.606,1,0.857036546510829
SP9,0.0757720800191423,0.0935445557431552,0.417,0.338,1,0.857036546510829
ATF2,0.0762761223019884,0.128022905701895,0.497,0.451,1,0.857036546510829
GLI2,0.0783197050282419,-0.134607912872609,0.457,0.531,1,0.857036546510829
RORB,0.0785135544795749,0.159844407530554,0.51,0.451,1,0.857036546510829
SP1,0.0803417075648105,0.117663730653812,0.45,0.376,1,0.857036546510829
MYBL1,0.0845129097406719,0.129374420195769,0.474,0.408,1,0.857036546510829
PAX4,0.0853401344765635,0.127281294044387,0.495,0.427,1,0.857036546510829
TLX2,0.0853401344765635,0.127281294044387,0.495,0.427,1,0.857036546510829
LHX9,0.0853401344765635,0.127281294044387,0.495,0.427,1,0.857036546510829
PRRX2,0.0853401344765635,0.127281294044387,0.495,0.427,1,0.857036546510829
MIXL1,0.0861738930627661,0.151529786436475,0.47,0.408,1,0.857036546510829
RHOXF1,0.0869439406421377,0.107658473562918,0.524,0.446,1,0.857036546510829
SP3,0.0870845442752668,0.0807997812142473,0.434,0.333,1,0.857036546510829
FOXD2,0.0877195332814953,0.118027055618264,0.478,0.423,1,0.857036546510829
PKNOX1,0.0882159913211861,-0.158009033372639,0.453,0.526,1,0.857036546510829
NFYA,0.0883582518117576,-0.153113679169371,0.43,0.465,1,0.857036546510829
ZNF341,0.0893592607736409,-0.129282152550193,0.415,0.451,1,0.857036546510829
CEBPG(var.2),0.090732359731966,0.229375788453394,0.564,0.512,1,0.857217667318425
E2F7,0.0928608091935803,-0.126572973750564,0.434,0.493,1,0.859967044164741
POU3F2,0.0939025861589257,-0.115153808816752,0.446,0.545,1,0.859967044164741
XBP1,0.0955585795758471,-0.165436368562912,0.493,0.516,1,0.859967044164741
FOSL2::JUNB(var.2),0.0983963160074144,-0.133933088861534,0.493,0.559,1,0.859967044164741
FERD3L,0.0990186428548223,-0.117711715296993,0.472,0.549,1,0.859967044164741
GBX2,0.0991747144139432,0.124373000178264,0.52,0.446,1,0.859967044164741
NR3C2,0.105744406040228,-0.137492960450487,0.493,0.549,1,0.882261744919637
HOXB3,0.105908853950053,0.126029596909527,0.478,0.446,1,0.882261744919637
HOXC4,0.108399990916198,-0.129135737342503,0.455,0.516,1,0.882261744919637
NR2C1,0.108987876453785,0.117257169841544,0.51,0.455,1,0.882261744919637
NKX2-8,0.10932494149584,0.125365744353254,0.512,0.465,1,0.882261744919637
OLIG2,0.110426097759482,0.152260249659741,0.461,0.451,1,0.882261744919637
RELB,0.112482000245623,0.116929656908929,0.438,0.376,1,0.882261744919637
IRF7,0.113869285305125,0.0951384666457214,0.421,0.362,1,0.882261744919637
NKX2-3,0.114743157300368,0.145758868884118,0.497,0.441,1,0.882261744919637
GLIS2,0.115975432584555,-0.094903381613533,0.429,0.493,1,0.882261744919637
TFE3,0.117932851200275,0.124382950314463,0.51,0.437,1,0.882261744919637
ZFP57,0.118471166379414,0.0877239516423746,0.48,0.408,1,0.882261744919637
LHX1,0.122293498516783,0.0961747181611291,0.516,0.455,1,0.900137029780504
CEBPG,0.12955066398536,0.216967660840784,0.547,0.469,1,0.93744020064906
THRB(var.3),0.130323440216615,-0.103024439156616,0.486,0.545,1,0.93744020064906
TBX1,0.131977462004855,0.136579740102394,0.507,0.484,1,0.938671162349139
NR1H4,0.13404306779488,0.124575691077413,0.484,0.432,1,0.942769576823991
GSX1,0.136534623121819,0.0940230049282801,0.503,0.465,1,0.949740839957269
NR1H4::RXRA,0.146647301093274,0.0979753845956174,0.491,0.432,1,0.994518890185124
FOXB1,0.146753367279585,0.136246148777459,0.484,0.437,1,0.994518890185124
ELF3,0.150286565015473,0.113569077390281,0.493,0.451,1,0.994518890185124
MGA,0.150827509411962,0.120075004765293,0.51,0.437,1,0.994518890185124
TBX15,0.150827509411962,0.120075004765293,0.51,0.437,1,0.994518890185124
