,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
ZNF135,3.95607528207447e-05,0.300922050895328,0.366,0.275,0.0250419565355314,0.0250419565355314
NFIC(var.2),0.00046763882945658,0.281129865953109,0.497,0.387,0.296015379046015,0.148007689523008
SOX4,0.000746608845937923,0.217352266900189,0.529,0.43,0.472603399478705,0.157534466492902
ETV4,0.00135658188099052,0.241347151067853,0.404,0.295,0.858716330667001,0.192082844434347
NFKB1,0.00151724205714334,0.243514968764484,0.411,0.315,0.960414222171737,0.192082844434347
SNAI3,0.00230225814069617,0.28511037234666,0.5,0.42,1,0.228681492629646
NFIC::TLX1,0.00252886326762642,0.228999827578425,0.468,0.374,1,0.228681492629646
POU3F2,0.0030399187830148,-0.235331413258936,0.449,0.538,1,0.240533573706046
NFIB,0.00418497511907292,0.198391747089077,0.465,0.354,1,0.294343250041462
KLF15,0.00581158371716837,-0.146247044529414,0.51,0.636,1,0.367873249296758
ZFP57,0.00690101769345981,-0.205687827552743,0.468,0.574,1,0.387012586607728
NR1D1,0.00770524263401664,0.171833089883771,0.436,0.348,1,0.387012586607728
POU3F1,0.00882226515781616,-0.204813531993325,0.452,0.534,1,0.387012586607728
NFKB2,0.00972099726561331,0.185333367943579,0.417,0.348,1,0.387012586607728
ESR1,0.0100425684168287,0.20845637649517,0.42,0.341,1,0.387012586607728
NEUROD1,0.011079094361845,0.199563955113321,0.532,0.466,1,0.387012586607728
GATA1::TAL1,0.0111648372611283,-0.32360961274519,0.567,0.669,1,0.387012586607728
HIF1A,0.0121476327295856,0.196246755718628,0.484,0.41,1,0.387012586607728
MAFK,0.0128284798759249,0.205782052188669,0.439,0.344,1,0.387012586607728
POU3F3,0.0138869713313631,-0.20933311069481,0.468,0.538,1,0.387012586607728
NEUROG2(var.2),0.0146895370416663,0.180770157558392,0.567,0.462,1,0.387012586607728
ARNT::HIF1A,0.0148733406936062,0.196842751125352,0.494,0.42,1,0.387012586607728
NRF1,0.0149474276876583,-0.166186844778057,0.516,0.603,1,0.387012586607728
ESR2,0.0152092987694516,0.153135663650209,0.503,0.416,1,0.387012586607728
RORC,0.0152848572909845,-0.136967586572201,0.42,0.479,1,0.387012586607728
RELB,0.0167025606957781,0.158701927705949,0.535,0.43,1,0.396406354725912
NFIX(var.2),0.0169083279266977,0.196483188005532,0.475,0.416,1,0.396406354725912
FOXF2,0.017689137637453,-0.146550475427286,0.519,0.574,1,0.399332023557466
ETV1,0.0193460548973629,0.169345067711066,0.404,0.321,1,0.399332023557466
ZNF460,0.0193693444650201,0.138017480867896,0.366,0.285,1,0.399332023557466
IRF9,0.019556544597601,-0.180521287483349,0.325,0.42,1,0.399332023557466
DUX4,0.0222164485939033,-0.194274014406559,0.478,0.554,1,0.435816766217118
RUNX3,0.0227203053478118,0.179440872592894,0.599,0.495,1,0.435816766217118
E2F2,0.0242352044387344,0.198954219780547,0.525,0.446,1,0.451202482638791
IRF7,0.0253029134229943,-0.165841412011997,0.42,0.508,1,0.45762126276444
INSM1,0.0266254012859016,0.12713117603038,0.513,0.416,1,0.46816330594377
TFAP2C(var.2),0.0302298282859278,0.125083937092618,0.404,0.348,1,0.483289887883161
IRF6,0.030367189758592,-0.14595026987798,0.401,0.472,1,0.483289887883161
HES7,0.0304016137928517,0.190723366979875,0.446,0.377,1,0.483289887883161
SNAI2,0.0305396453638648,0.203907149758744,0.459,0.433,1,0.483289887883161
GATA6,0.0339039993071467,-0.278253720324443,0.608,0.708,1,0.516697320724411
ELF1,0.0357215709445633,0.152266407395542,0.338,0.259,1,0.516697320724411
E2F6,0.0363991498139065,-0.11876590432453,0.404,0.469,1,0.516697320724411
IRF4,0.0369653512059676,-0.176149253721057,0.341,0.43,1,0.516697320724411
HAND2,0.0376216058045313,0.144347216106683,0.57,0.505,1,0.516697320724411
NR1H4,0.0381620875386839,0.167431485988962,0.497,0.42,1,0.516697320724411
ONECUT1,0.0397366477168372,0.13886321642209,0.545,0.479,1,0.516697320724411
ZIC1,0.0399971069755073,0.15467916708297,0.538,0.472,1,0.516697320724411
POU1F1,0.0399971069755073,-0.160747161091762,0.459,0.554,1,0.516697320724411
GATA4,0.0410979974074899,-0.258135649574737,0.58,0.656,1,0.520300647178823
GATA5,0.0433769175288908,-0.298841562551659,0.602,0.652,1,0.538384094035057
BHLHE22(var.2),0.0463995269847746,0.156633885751413,0.5,0.446,1,0.554795778829328
JDP2,0.0468952449375502,-0.150602042207756,0.42,0.489,1,0.554795778829328
PAX9,0.0480523269055034,0.16571292724579,0.494,0.426,1,0.554795778829328
ZBTB14,0.0482050044796414,-0.123547374802763,0.535,0.597,1,0.554795778829328
IKZF1,0.049649745782325,0.129913567416871,0.401,0.334,1,0.561219447860924
HINFP,0.0513451728637659,-0.169555883344303,0.519,0.593,1,0.563524495697592
DMRTA2,0.0520476510742856,-0.142076937494344,0.452,0.525,1,0.563524495697592
NR2F1,0.0545982058815292,0.141888647586776,0.382,0.295,1,0.563524495697592
ZIC3,0.0549953254044187,0.133998033205143,0.516,0.462,1,0.563524495697592
TBX4,0.0552804542116793,0.139949055863606,0.427,0.367,1,0.563524495697592
TBX5,0.0552804542116793,0.139949055863606,0.427,0.367,1,0.563524495697592
GATA3,0.0560853763490494,-0.254768088202351,0.608,0.672,1,0.563524495697592
ZIC4,0.0577245144906238,0.132736542303167,0.535,0.452,1,0.569689984593185
GABPA,0.0584989715617015,0.156178566479995,0.36,0.308,1,0.569689984593185
ZNF341,0.0614960423983795,0.149936978005003,0.51,0.456,1,0.589802952093549
BACH1,0.0635852663855519,0.158700065948309,0.497,0.413,1,0.600738412269468
RXRG,0.0654693362792602,0.126841961496056,0.478,0.43,1,0.609442498011349
NR4A2::RXRA,0.0664617746553572,0.109994861199221,0.538,0.433,1,0.609714541403495
ELF3,0.0692378133448782,0.137010243938796,0.334,0.259,1,0.618517942208938
NHLH1,0.069375630168775,0.14272943891007,0.513,0.485,1,0.618517942208938
SNAI1,0.0708363524689664,0.149370956381569,0.468,0.436,1,0.622769598789663
NHLH2,0.0725365327591566,0.13723048214811,0.538,0.482,1,0.625335352972642
RARA,0.0758143700282587,0.154827159331517,0.411,0.321,1,0.625335352972642
GFI1,0.0766337385714421,0.116886952360479,0.401,0.351,1,0.625335352972642
NR2F6(var.3),0.077234166286949,0.145402395387565,0.475,0.413,1,0.625335352972642
FOSL1::JUND(var.2),0.0792120771295083,-0.130024095307531,0.465,0.564,1,0.625335352972642
RORA(var.2),0.0795971272838628,-0.109053050912245,0.433,0.538,1,0.625335352972642
HOXA6,0.0798288868328523,0.148148204332076,0.557,0.452,1,0.625335352972642
EGR1,0.0814666010226228,-0.123506429221291,0.551,0.613,1,0.625335352972642
RXRB,0.0828919612686178,0.135084512518807,0.5,0.436,1,0.625335352972642
SOX2,0.0830515745374689,0.156370481263898,0.465,0.433,1,0.625335352972642
PITX3,0.0834516973468099,-0.156482906354425,0.494,0.541,1,0.625335352972642
RUNX2,0.0841758519670112,0.101345344019555,0.65,0.577,1,0.625335352972642
TBX18,0.0842566265877773,0.137434616876906,0.43,0.374,1,0.625335352972642
PITX2,0.0858032976529485,-0.11935664762974,0.465,0.521,1,0.625335352972642
OLIG2,0.0865438976157406,-0.124368951114165,0.471,0.541,1,0.625335352972642
FOXK2,0.0882081604859252,-0.113963392688824,0.49,0.551,1,0.625335352972642
GATA2,0.0887124406371633,-0.206261903171224,0.602,0.649,1,0.625335352972642
HOXC12,0.0893884253499966,0.111132453524034,0.58,0.498,1,0.625335352972642
SMAD2::SMAD3::SMAD4,0.0898981313120228,0.118216393334603,0.436,0.403,1,0.625335352972642
HOXA9,0.0937958983537704,0.116411843736226,0.525,0.459,1,0.645356561499311
HNF4G,0.0981930740216077,-0.128423250120253,0.446,0.466,1,0.668346407050298
TBX1,0.0995715851499223,0.118050378170277,0.424,0.341,1,0.670519291488306
ZNF136,0.101809268704321,0.121315442166703,0.51,0.452,1,0.678371232524582
RXRA::VDR,0.108961585796141,0.132926785256298,0.462,0.403,1,0.697884988706267
HNF4A,0.109558499284016,-0.131214043472333,0.452,0.489,1,0.697884988706267
REST,0.11035840148575,0.123511460264714,0.455,0.413,1,0.697884988706267
TCF4,0.11116290991887,0.124805558618291,0.506,0.492,1,0.697884988706267
NFATC2,0.11187064597255,-0.125074624295071,0.452,0.482,1,0.697884988706267
TWIST1,0.11535890943518,0.128868165277508,0.519,0.466,1,0.697884988706267
SPI1,0.117450441833402,0.111421266650631,0.264,0.19,1,0.697884988706267
ZFP42,0.11808367177734,0.109758823920421,0.462,0.436,1,0.697884988706267
SOX10,0.119251545818462,0.107792458589156,0.516,0.492,1,0.697884988706267
TFDP1,0.120966406132004,-0.128190921876834,0.494,0.531,1,0.697884988706267
TAL1::TCF3,0.12204795354436,0.12013739015802,0.564,0.515,1,0.697884988706267
ETS2,0.12226516734917,0.0880663001110663,0.484,0.416,1,0.697884988706267
SOHLH2,0.123355771403634,0.101457612661377,0.503,0.446,1,0.697884988706267
OLIG3,0.125670751288273,-0.111046629424755,0.478,0.554,1,0.697884988706267
HOXB7,0.128132130480406,0.13769548495534,0.519,0.492,1,0.697884988706267
NFYB,0.12824489564086,-0.103421781091886,0.494,0.515,1,0.697884988706267
EHF,0.12994564595689,0.14137446602237,0.29,0.252,1,0.697884988706267
PBX1,0.130745297175587,-0.0890605897100967,0.478,0.541,1,0.697884988706267
PROP1,0.131548760145171,-0.0972300959744481,0.513,0.557,1,0.697884988706267
TBX3,0.132009597157439,0.14208379396196,0.436,0.407,1,0.697884988706267
NR2F1(var.2),0.132935022686644,0.10001694633835,0.487,0.43,1,0.697884988706267
FIGLA,0.133167162010922,0.116265440710413,0.475,0.413,1,0.697884988706267
POU4F2,0.13363238184111,-0.0913646774450687,0.487,0.544,1,0.697884988706267
BHLHE40,0.134800932624657,0.114079965022594,0.475,0.413,1,0.697884988706267
SOX9,0.134918220748324,-0.116557341195218,0.497,0.495,1,0.697884988706267
ZBED1,0.13621360082696,0.0707518897813504,0.548,0.472,1,0.697884988706267
GLIS1,0.136805574584138,0.0966679854365974,0.494,0.456,1,0.697884988706267
SPIB,0.138234409124768,0.120710218890008,0.194,0.154,1,0.697884988706267
ZNF449,0.138953125327484,0.0699193224149365,0.516,0.43,1,0.697884988706267
IRF2,0.139674715811838,-0.156909548245151,0.404,0.456,1,0.697884988706267
ASCL1,0.140399186801724,0.119949034468344,0.494,0.433,1,0.697884988706267
MEIS2(var.2),0.140762504426523,-0.109423477341456,0.532,0.646,1,0.697884988706267
NFYC,0.141856795107694,-0.122504421708025,0.513,0.554,1,0.697884988706267
NEUROG1,0.142223007177107,-0.128203552583041,0.506,0.515,1,0.697884988706267
KLF10,0.144064965958251,-0.079870467425507,0.462,0.518,1,0.701485565012097
NEUROG2,0.146674363047187,-0.137850846359512,0.5,0.554,1,0.70397040601079
GLIS2,0.146799515945378,0.140473643204221,0.497,0.489,1,0.70397040601079
HNF4A(var.2),0.149827747582506,0.12192572654656,0.494,0.469,1,0.713089956539295
FOXB1,0.152645274238172,-0.0978377385824799,0.529,0.584,1,0.721078049199722
MYC,0.156289305901367,0.0982323546480462,0.554,0.482,1,0.723423811522832
MYF5,0.156289305901367,0.12372288890147,0.487,0.426,1,0.723423811522832
TBX6,0.157738807865568,0.120542269547976,0.392,0.351,1,0.723423811522832
IRF8,0.159065353946672,-0.14334736996354,0.392,0.42,1,0.723423811522832
NKX2-8,0.159731784553008,0.116042980623038,0.49,0.459,1,0.723423811522832
MEIS3,0.159998947256234,0.0739281530933616,0.519,0.449,1,0.723423811522832
PBX3,0.161743746196021,0.0911355632053762,0.401,0.354,1,0.726126179731071
TCF12(var.2),0.165276380011706,0.0992503789514594,0.503,0.482,1,0.733428769089078
MYOD1,0.165687699810013,0.124007474770658,0.481,0.423,1,0.733428769089078
DPRX,0.168033070635199,-0.118748846090119,0.561,0.613,1,0.735910224183432
MGA,0.169983198496061,0.108732870907997,0.443,0.393,1,0.735910224183432
