,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
NFIC,0.000105440838466268,0.329708951822404,0.523,0.365,0.0667440507491475,0.0204555226624559
SPDEF,0.000941720021770493,0.296011264689708,0.554,0.419,0.596108773780722,0.0637965187045346
ATOH7,0.000986544103678371,0.304022999929979,0.55,0.427,0.624482417628409,0.0637965187045346
ZNF354C,0.00308794237964784,0.225625990797575,0.492,0.402,1,0.116316617347414
ZIC4,0.00406454469789296,0.232013576024279,0.519,0.398,1,0.116316617347414
MYOG,0.00614102830023906,0.223640588106685,0.512,0.382,1,0.116316617347414
ZKSCAN5,0.00642539974245198,-0.266606270001226,0.345,0.436,1,0.116316617347414
CTCFL,0.00642539974245198,0.203239502750367,0.484,0.365,1,0.116316617347414
KLF15,0.00705620604382477,0.126914206994626,0.411,0.32,1,0.116316617347414
FOXN3,0.0072156423725583,0.221753155297531,0.457,0.382,1,0.116316617347414
PPARG,0.00748856561358029,0.202286494421667,0.531,0.394,1,0.116316617347414
ZIC5,0.00822688356993167,0.157957031401674,0.461,0.34,1,0.116316617347414
GATA1::TAL1,0.00941408061451635,0.44310572467711,0.422,0.34,1,0.116316617347414
BHLHA15(var.2),0.0100450998609192,0.251609207077929,0.477,0.407,1,0.116316617347414
ZNF652,0.0100450998609192,0.211169206992896,0.488,0.398,1,0.116316617347414
TBXT,0.0104490151085989,0.228976134589617,0.562,0.481,1,0.116316617347414
HSF4,0.0114009852769614,0.208992779030363,0.492,0.411,1,0.116316617347414
NEUROG1,0.0117903499462195,0.192894502719647,0.539,0.448,1,0.116316617347414
ZBTB7C,0.0126488249459663,0.211310068621316,0.516,0.436,1,0.116316617347414
FOS::JUN(var.2),0.0128046192733879,0.21598844976798,0.554,0.461,1,0.116316617347414
TAL1::TCF3,0.0130074200218163,0.281283324808727,0.504,0.44,1,0.116316617347414
NFIX,0.0144086586986229,0.226568502571125,0.543,0.452,1,0.116316617347414
GATA5,0.0150673039563447,0.305688411112848,0.453,0.373,1,0.116316617347414
ELF1,0.0152491021041293,-0.237799922724113,0.395,0.465,1,0.116316617347414
TBX19,0.0158061357523896,0.20913767519837,0.543,0.415,1,0.116316617347414
NEUROD1,0.0158871556742562,0.198469703293775,0.504,0.402,1,0.116316617347414
ONECUT1,0.0173799467660601,0.194752598751546,0.527,0.432,1,0.116316617347414
OTX2,0.01761564383454,0.2071999283306,0.492,0.407,1,0.116316617347414
SPI1,0.0177942507223589,-0.285962081560995,0.368,0.444,1,0.116316617347414
ONECUT3,0.0185246421569315,0.175867335300211,0.531,0.436,1,0.116316617347414
ELF4,0.0185866759678857,-0.226788620783584,0.419,0.481,1,0.116316617347414
FOXE1,0.0196694074162279,0.163837845857889,0.527,0.444,1,0.119245782460882
ASCL1,0.0220011483341273,0.187048918861408,0.492,0.402,1,0.129340084146082
ZBTB7B,0.0231416284138867,0.191865423999826,0.531,0.456,1,0.132043409185118
NEUROG2(var.2),0.0254137940690369,0.179116538440959,0.5,0.419,1,0.135890374610989
EGR4,0.0280093011320809,0.146995535135812,0.496,0.415,1,0.135890374610989
PAX3,0.0288175776162994,0.183138077383111,0.492,0.382,1,0.135890374610989
ZIC3,0.0289998973477564,0.165054760757313,0.442,0.373,1,0.135890374610989
CTCF,0.0290456321139433,0.279211540858937,0.523,0.465,1,0.135890374610989
GATA1,0.0303516485562603,0.171074167909367,0.461,0.402,1,0.135890374610989
FOXD2,0.0308783608112535,0.140721464848393,0.512,0.423,1,0.135890374610989
EBF1,0.030974965018599,0.180889499997502,0.453,0.386,1,0.135890374610989
TFAP4,0.031363980446485,0.185149259534933,0.488,0.415,1,0.135890374610989
NR2F2,0.0320050699215272,-0.184818126036179,0.411,0.494,1,0.135890374610989
NR3C2,0.032455452763514,0.203457267268283,0.535,0.49,1,0.135890374610989
EGR1,0.0332695446250402,0.101194348431006,0.446,0.382,1,0.135890374610989
DUX4,0.0336311677427651,0.158704911563113,0.488,0.407,1,0.135890374610989
EBF3,0.0341536008458509,0.14021559427207,0.492,0.436,1,0.135890374610989
GATA4,0.034364507940798,0.343975679078289,0.446,0.369,1,0.135890374610989
SPIB,0.0360921745839508,-0.31385370265791,0.333,0.394,1,0.135890374610989
ELF3,0.0362025698683074,-0.216907073952006,0.419,0.498,1,0.135890374610989
NFIC(var.2),0.036424224122533,0.158919580184739,0.539,0.473,1,0.135890374610989
FOXC1,0.0416012467609997,0.142382962049827,0.516,0.419,1,0.149456330956184
HOXC12,0.0416012467609997,0.194872206693803,0.45,0.423,1,0.149456330956184
MSC,0.0438269223531675,0.139620487989793,0.488,0.415,1,0.149806197687965
SOX12,0.0446788241526821,0.16491278502836,0.5,0.452,1,0.149806197687965
FOSB::JUNB(var.2),0.0450766963414598,0.183337165922313,0.504,0.444,1,0.149806197687965
NHLH1,0.0463563859690693,0.179231760974841,0.488,0.444,1,0.149806197687965
ZIC1,0.0466296562925303,0.149101375925788,0.465,0.349,1,0.149806197687965
GATA3,0.0466296562925303,0.286797074611162,0.43,0.369,1,0.149806197687965
JUNB(var.2),0.0476665247540385,0.164893964358518,0.512,0.456,1,0.149806197687965
GATA2,0.0478762075085248,0.295748404266038,0.426,0.365,1,0.149806197687965
ETV6,0.0492222751370853,-0.229017628153827,0.399,0.465,1,0.15157335518404
EN1,0.0501614511539291,0.157961209799523,0.508,0.419,1,0.152051898810348
MYF6,0.0509678277185115,0.150767983472402,0.539,0.461,1,0.152119362729096
NFIX(var.2),0.0530695301109714,0.159904971764629,0.523,0.448,1,0.155992255174673
ZFP42,0.0543805403303955,0.149480689655829,0.492,0.423,1,0.157460072001444
NRL,0.0552431556879768,0.153539139273496,0.535,0.444,1,0.157605473580404
NFIA,0.0614334409922593,0.177731134795356,0.508,0.432,1,0.170468352272204
GATA6,0.0623006290883924,0.241207923334257,0.461,0.386,1,0.170468352272204
MEIS1,0.0623879021202395,0.16508299844753,0.512,0.436,1,0.170468352272204
MEIS2(var.2),0.0642441185864838,0.168580446524829,0.539,0.477,1,0.173102208413581
MLX,0.0678123076853457,0.149447835548744,0.523,0.423,1,0.179007830530832
FOXF2,0.068281337418977,0.171025498173563,0.484,0.398,1,0.179007830530832
ATF7,0.0713466576992315,0.156628927059933,0.519,0.44,1,0.182227436470854
ZNF341,0.0717376325784445,0.159326840633234,0.469,0.419,1,0.182227436470854
CUX2,0.0723273845786377,0.140150105583323,0.512,0.432,1,0.182227436470854
EHF,0.0738191467889421,-0.244435362655243,0.426,0.452,1,0.183332571047179
INSM1,0.0750305867804937,0.108039620243993,0.465,0.402,1,0.183332571047179
ETV5,0.0763612502421838,-0.180765554312987,0.415,0.469,1,0.183332571047179
CREB1,0.0775021720827146,0.183301944126453,0.539,0.49,1,0.183332571047179
NR2F1(var.3),0.0781303226597256,-0.130680863712884,0.461,0.498,1,0.183332571047179
PBX1,0.0793990578060741,0.136762908977765,0.446,0.411,1,0.183332571047179
ELF5,0.080146856695501,-0.18259724946644,0.407,0.502,1,0.183332571047179
HNF1B,0.0835276053143395,0.138359795090747,0.484,0.415,1,0.183332571047179
ALX3,0.0841950989232532,0.124189336540678,0.461,0.411,1,0.183332571047179
NR2C1,0.0846424883011063,-0.167263895814198,0.453,0.539,1,0.183332571047179
NFIB,0.0850917989649781,0.146927814302157,0.547,0.452,1,0.183332571047179
PAX7,0.0854300460938301,0.191427826468381,0.446,0.432,1,0.183332571047179
FOSL1::JUN(var.2),0.0856561474274227,0.151844180259826,0.539,0.469,1,0.183332571047179
LEF1,0.0859962060066666,0.147557274548183,0.5,0.448,1,0.183332571047179
ATOH1(var.2),0.0926670339376652,0.156966574821693,0.516,0.469,1,0.195406571564207
ETV4,0.0958448319377588,-0.132495546041729,0.477,0.523,1,0.199861231106208
CLOCK,0.0968399779586781,0.143530383255186,0.554,0.481,1,0.199861231106208
CREB3L4,0.0980955119832746,-0.120329952881497,0.419,0.498,1,0.200321361313213
NR6A1,0.099236579156182,-0.177818156629252,0.457,0.519,1,0.200540587044785
HIC2,0.102331252600161,-0.158664085398396,0.407,0.481,1,0.204662505200321
BHLHE22(var.2),0.105636030608112,0.155065886598148,0.492,0.427,1,0.20597477889877
POU6F1(var.2),0.106038230328876,0.151195203809625,0.469,0.411,1,0.20597477889877
NR2C2,0.106172566442665,-0.100741307071183,0.395,0.477,1,0.20597477889877
MZF1,0.107659186078592,0.129517152844028,0.481,0.436,1,0.206790911873731
FOXA2,0.110820810972302,0.136615129114757,0.477,0.423,1,0.210776836555162
HSF1,0.113345899892986,0.166891123971574,0.457,0.423,1,0.211737285938315
HOXD10,0.11519760093422,0.14632343914975,0.488,0.452,1,0.211737285938315
THAP11,0.11519760093422,0.125838235175374,0.512,0.461,1,0.211737285938315
RARA(var.2),0.116060217858071,-0.13701175849882,0.461,0.531,1,0.211737285938315
ZNF684,0.116782936058761,0.112043872570424,0.5,0.456,1,0.211737285938315
HMBOX1,0.11853188063084,0.110795837121654,0.535,0.469,1,0.212918378170212
HOXD13,0.124053947164685,0.112207328405355,0.562,0.465,1,0.220793263760999
ELF2,0.126349002786101,-0.147560721967866,0.45,0.498,1,0.222556097176936
KLF6,0.127897317116055,-0.118154233569625,0.407,0.465,1,0.222556097176936
ZKSCAN1,0.128833363563903,-0.125264189035339,0.403,0.494,1,0.222556097176936
NFATC3,0.13040525884319,0.141050845093815,0.469,0.415,1,0.222556097176936
ZNF143,0.131991994624261,0.137560902673916,0.496,0.44,1,0.222556097176936
NR3C1,0.132311129537395,0.154252798900208,0.527,0.515,1,0.222556097176936
ZNF410,0.133111581709778,0.143450722722272,0.492,0.448,1,0.222556097176936
IRF7,0.135535437090907,0.117844390925416,0.434,0.394,1,0.222556097176936
KLF14,0.136678172680324,0.10666797510888,0.438,0.382,1,0.222556097176936
MAFF,0.137334494309098,0.116782896483097,0.519,0.456,1,0.222556097176936
JUN::JUNB(var.2),0.137663565264084,0.139845738490407,0.531,0.506,1,0.222556097176936
POU2F2,0.141996999178187,-0.119891899439222,0.438,0.494,1,0.22714257136847
JDP2(var.2),0.142842235602852,0.138439002177033,0.539,0.485,1,0.22714257136847
POU6F1,0.145057920155456,-0.121272041013652,0.473,0.51,1,0.227751230043801
SOX2,0.145572951162017,0.10646160106863,0.496,0.469,1,0.227751230043801
FOXG1,0.147473382061247,0.144168999750671,0.473,0.411,1,0.228878688959056
TCF21(var.2),0.149919468826777,0.105370387454646,0.504,0.465,1,0.229989523392892
TCF12(var.2),0.151863009357355,0.109231183076153,0.508,0.473,1,0.229989523392892
NEUROG2,0.152931177926201,0.12217266816228,0.519,0.456,1,0.229989523392892
PAX3(var.2),0.152931177926201,-0.128569073047212,0.465,0.515,1,0.229989523392892
PITX2,0.156896732951601,0.128783062838013,0.519,0.469,1,0.232465555786514
FOXA3,0.159644894001742,0.145091059786025,0.484,0.448,1,0.232465555786514
FOSL2::JUND(var.2),0.160014049405035,0.119746883323039,0.512,0.44,1,0.232465555786514
NR2C2(var.2),0.160198868963498,-0.123340975486617,0.457,0.523,1,0.232465555786514
E2F8,0.160568992141201,0.128735176359964,0.516,0.456,1,0.232465555786514
ATF2,0.164305838129556,0.113864665839943,0.516,0.469,1,0.236113574793584
JDP2,0.171002375520264,-0.182720848226157,0.419,0.494,1,0.241485905994434
TCF3,0.171391119458582,0.105881065049777,0.504,0.473,1,0.241485905994434
HOXB9,0.173344768107805,0.106808683185739,0.45,0.423,1,0.241485905994434
HOXD12,0.174919632933378,0.146362161117502,0.508,0.456,1,0.241485905994434
OLIG2,0.175315012593893,0.120112815220344,0.527,0.444,1,0.241485905994434
IRF1,0.175512952294923,-0.188077690307319,0.353,0.386,1,0.241485905994434
CENPB,0.176903200409629,-0.116792507838665,0.457,0.535,1,0.241684654080761
RFX3,0.183158737055513,0.116031031708611,0.457,0.423,1,0.24719978864449
NR4A2,0.185005205837118,-0.116063811359103,0.43,0.515,1,0.24719978864449
TCF7L1,0.185005205837118,0.124015138534003,0.531,0.477,1,0.24719978864449
NR1H4::RXRA,0.186036954340699,0.132631710441943,0.496,0.469,1,0.24719978864449
BHLHE23,0.190837813565575,0.119143202488981,0.488,0.452,1,0.251853985249807
SOHLH2,0.192741028973074,0.116127420752509,0.512,0.465,1,0.252647024464705
GSC,0.19572925321311,0.128779618098741,0.481,0.432,1,0.254255412268091
TFAP4(var.2),0.196589236289761,0.137100284939175,0.535,0.485,1,0.254255412268091
IRF6,0.200056845990523,-0.104743916572783,0.442,0.498,1,0.257026676305705
FOSB::JUN,0.204897434635518,0.152190057851908,0.504,0.494,1,0.258677175121677
MXI1,0.204897434635518,0.150110215063357,0.566,0.506,1,0.258677175121677
HAND2,0.205341675096589,0.146569840923232,0.473,0.444,1,0.258677175121677
PLAGL2,0.208246310250623,0.126730934858367,0.453,0.39,1,0.260643768958845
E2F7,0.210048519242282,0.141329338100983,0.469,0.436,1,0.261214184185915
NFATC4,0.213229500666527,0.111038426550465,0.488,0.411,1,0.263481039040167
RAX,0.218298195154086,-0.122928011533288,0.434,0.51,1,0.268037024429701
TFE3,0.220162655339521,0.107618736203852,0.519,0.461,1,0.268158043314115
CREB3L4(var.2),0.22345289776618,0.137153221212976,0.484,0.477,1,0.268158043314115
GFI1,0.22345289776618,-0.121636921859134,0.407,0.456,1,0.268158043314115
FEV,0.223925788746839,-0.121709390424362,0.481,0.506,1,0.268158043314115
RFX2,0.226062653131916,0.119973647019965,0.457,0.415,1,0.269056163850255
FOXP1,0.228694088703773,0.131937406167562,0.484,0.448,1,0.270528373222756
ZNF75D,0.236965279876165,0.103172751192778,0.477,0.436,1,0.278613723005916
SPIC,0.258299867433158,-0.179864218104266,0.442,0.465,1,0.300669292317836
