,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
PBX3,0.000252249188249047,0.417039368543753,0.546,0.371,0.159673736161647,0.159673736161647
NR2F1,0.00275731982561352,0.371776616259776,0.578,0.427,1,0.503898168545171
ZNF24,0.0038566903310186,0.321762703773665,0.541,0.395,1,0.503898168545171
PKNOX1,0.0063859772490394,0.327032609723261,0.546,0.427,1,0.503898168545171
HNF1B,0.00932313788642244,-0.255729739348484,0.405,0.605,1,0.503898168545171
SREBF2,0.0103205948929474,0.318844212745303,0.546,0.403,1,0.503898168545171
OSR2,0.0104761773842223,0.283941109952483,0.508,0.395,1,0.503898168545171
E2F3,0.0138558976798861,-0.248865061310713,0.476,0.629,1,0.503898168545171
MITF,0.0139565534676735,0.291280401923325,0.568,0.419,1,0.503898168545171
ESR2,0.0175992233621856,0.324985797039218,0.53,0.435,1,0.503898168545171
RARA::RXRA,0.017848416082106,0.290165736410254,0.573,0.452,1,0.503898168545171
TCF4,0.0184204307776857,-0.277204973010221,0.432,0.548,1,0.503898168545171
CREM,0.0188763616847029,0.289973060303188,0.541,0.435,1,0.503898168545171
FOS::JUNB,0.0194770397580477,0.538697991342361,0.443,0.323,1,0.503898168545171
TCF3,0.0195448016812028,-0.224978251046249,0.449,0.597,1,0.503898168545171
TCF12(var.2),0.019749324560275,-0.231266925529579,0.459,0.605,1,0.503898168545171
NR2F1(var.3),0.021161180858671,0.207536475622304,0.519,0.419,1,0.503898168545171
NRF1,0.0216015348843292,-0.22664035846662,0.341,0.46,1,0.503898168545171
NR5A1,0.0222010690718699,0.246710917060887,0.524,0.435,1,0.503898168545171
JUN(var.2),0.0231274928636452,0.522773271139974,0.454,0.339,1,0.503898168545171
ZBTB7A,0.0234436731223068,0.159764478764247,0.486,0.331,1,0.503898168545171
PRDM1,0.0241688255931704,0.162406831984687,0.551,0.363,1,0.503898168545171
ZBTB26,0.0245800300676482,0.216680112668624,0.546,0.395,1,0.503898168545171
TGIF2LY,0.0252505662287691,0.22387656757575,0.578,0.435,1,0.503898168545171
ELF3,0.0266392569676849,0.245620593071266,0.622,0.46,1,0.503898168545171
TFAP2E,0.0267281992231434,-0.237836701174748,0.427,0.508,1,0.503898168545171
FOSL2,0.0274490148743146,0.475974190914619,0.422,0.355,1,0.503898168545171
ELK4,0.0277236119943148,0.191948928363832,0.454,0.371,1,0.503898168545171
RARA,0.0281865388023698,0.286815845096648,0.546,0.452,1,0.503898168545171
ESR1,0.0283735662153102,0.285934500124339,0.573,0.46,1,0.503898168545171
BHLHE40,0.0286561116688053,0.255007076173007,0.578,0.484,1,0.503898168545171
TBX18,0.0289410768093766,0.217744457838988,0.584,0.452,1,0.503898168545171
GATA5,0.0308031073033181,0.453635433459505,0.319,0.274,1,0.503898168545171
ELF1,0.0310049662649286,0.250859448208893,0.595,0.46,1,0.503898168545171
GATA2,0.0312079596109687,0.485146346745532,0.324,0.25,1,0.503898168545171
GATA3,0.0313098832392324,0.504495264552638,0.33,0.274,1,0.503898168545171
ZBTB14,0.0330867756880868,-0.150323523252314,0.405,0.476,1,0.503898168545171
RXRB,0.0335171939293973,0.279804604333895,0.497,0.371,1,0.503898168545171
RARA(var.2),0.0346142453714306,0.258631492172974,0.53,0.452,1,0.503898168545171
PLAGL2,0.0346142453714306,0.210252786055081,0.53,0.411,1,0.503898168545171
MAF::NFE2,0.0351741777713484,0.342527812246884,0.432,0.355,1,0.503898168545171
FOSL1::JUNB,0.035400305781403,0.50414178398982,0.438,0.363,1,0.503898168545171
ZNF684,0.0355138341984272,0.230226018353124,0.584,0.419,1,0.503898168545171
