,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
SRF,0.000625619944727553,0.3496446117623,0.587,0.39,0.396017425012541,0.185809123584083
MYBL1,0.00261039338999986,0.367678278513774,0.535,0.411,1,0.189063766273375
SP2,0.00278375682034556,0.236174264409672,0.512,0.377,1,0.189063766273375
MEIS3,0.00330304234922511,0.320327660787839,0.564,0.438,1,0.189063766273375
FOSL2::JUNB,0.00380405120509411,-0.68383843035571,0.395,0.589,1,0.189063766273375
TP53,0.00454442870394391,0.284812416616253,0.57,0.384,1,0.189063766273375
FOXC2,0.00599010627807311,0.258609322354325,0.535,0.418,1,0.189063766273375
NFE2,0.00723342308071461,-0.607105558731163,0.378,0.555,1,0.189063766273375
JDP2,0.00761301555964418,-0.573414904740789,0.424,0.562,1,0.189063766273375
DMRT3,0.0076408006660617,0.279131613618671,0.552,0.411,1,0.189063766273375
FOSB::JUNB,0.00766867663552587,-0.639759437692357,0.413,0.568,1,0.189063766273375
FOSL2::JUN,0.00818627537588375,-0.718483545593093,0.395,0.534,1,0.189063766273375
FOS::JUNB,0.00827551838907026,-0.700097359613482,0.39,0.521,1,0.189063766273375
FOSL2::JUND,0.00915136362521224,-0.658640762954301,0.401,0.555,1,0.193192924255499
FOSL1::JUNB,0.00975721839674238,-0.707320521319974,0.395,0.534,1,0.193192924255499
ZNF740,0.0113119423920584,0.202666310765227,0.494,0.336,1,0.193265828871034
FOS::JUND,0.0115511353457092,-0.736215161464114,0.413,0.541,1,0.193265828871034
FOS::JUN,0.0117130805376384,-0.64990636044214,0.384,0.541,1,0.193265828871034
FOSL1::JUN,0.0124670227371484,-0.677107549577437,0.419,0.534,1,0.194879250154372
MAZ,0.0139139886888811,0.207233821952608,0.465,0.363,1,0.202834664330755
ATF4,0.0146915923882383,0.414777670892582,0.593,0.466,1,0.202834664330755
FOSL1::JUND,0.0151456203120974,-0.596337918408951,0.39,0.527,1,0.202834664330755
