"","p_val","avg_diff","pct.1","pct.2","p_val_adj"
"PKNOX1",0.00152862415887172,-0.386836433558409,0.44,0.595,0.967619092565799
"DBP",0.00487037785316448,0.373221345854397,0.53,0.302,1
"TEF",0.0056119478273095,0.379731632017251,0.54,0.319,1
"XBP1",0.0056119478273095,-0.426399457577038,0.39,0.517,1
"MZF1",0.0058028925597736,-0.315369471777,0.37,0.534,1
"PPARG",0.00632705738564741,0.350020399243973,0.56,0.353,1
"POU6F1",0.00721694782918421,0.334712010192023,0.55,0.405,1
"CREB3L4",0.00952041255048094,-0.381117143132642,0.35,0.448,1
"HOXA6",0.0106653255275532,0.355351107055128,0.48,0.353,1
"OLIG2",0.0120051549376207,0.291644067788775,0.5,0.319,1
"DUX4",0.0126903693359106,-0.359262549829016,0.42,0.56,1
"NEUROG1",0.0132470190822295,0.316380460532267,0.54,0.422,1
"TCF7L1",0.0143383000732851,-0.305423708703942,0.37,0.526,1
"RBPJ",0.0162690529720172,0.301956286654841,0.55,0.414,1
"HOXB7",0.0172662166362441,0.280315266380865,0.53,0.379,1
"DUXA",0.0181021472124663,-0.366061258599776,0.42,0.578,1
"FOS::JUN(var.2)",0.0205862697518373,-0.305408222681861,0.31,0.517,1
"FOSL1::JUND(var.2)",0.0220626965503174,-0.323005948321429,0.36,0.491,1
"CREB3L1",0.0232296636030835,-0.257628580481021,0.4,0.56,1
"ATF7",0.0276687650089029,-0.305844064689717,0.38,0.457,1
"OLIG3",0.0287668187002002,0.283659942785474,0.45,0.353,1
"USF1",0.0309058181899152,0.273651962454186,0.55,0.422,1
"ZBTB7C",0.0319382285847468,0.286819622253698,0.49,0.405,1
"EGR3",0.032821020144351,0.253560662316976,0.43,0.353,1
"BCL6",0.0375547923993079,-0.289217699117267,0.33,0.466,1
"TEAD2",0.0387736761925358,0.316257489466877,0.46,0.362,1
"LMX1A",0.0387736761925358,0.278362193241731,0.51,0.328,1
"GLI2",0.040664936375351,0.241354287357804,0.5,0.371,1
"TEAD4",0.0415302702477764,0.275573626943612,0.48,0.362,1
"PBX1",0.0449154129823778,-0.256297400692396,0.42,0.534,1
"NEUROD2",0.0475432455091724,0.277565807147173,0.52,0.414,1
"EMX2",0.0495345782461635,0.246166301904577,0.49,0.397,1
"PBX3",0.0502991499383512,-0.243129945723875,0.47,0.543,1
"NR2F1(var.3)",0.0518579848211532,0.205375458996583,0.47,0.388,1
"CREB3",0.0542718758208175,-0.288218814216362,0.46,0.543,1
"VAX1",0.0545457821545562,0.211121606705057,0.47,0.31,1
"VAX2",0.0545457821545562,0.211121606705057,0.47,0.31,1
"DRGX",0.0545457821545562,0.211121606705057,0.47,0.31,1
"GSX2",0.0545457821545562,0.211121606705057,0.47,0.31,1
"USF2",0.0570632099480826,0.256277258771812,0.55,0.448,1
"ZNF75D",0.0590873838969957,0.211345948143266,0.49,0.405,1
"RXRG",0.0596765470986787,0.2219968286496,0.61,0.448,1
"NFIX(var.2)",0.0626959124374524,0.213972005370054,0.48,0.362,1
"ZKSCAN1",0.0626959124374524,0.335414664350347,0.49,0.302,1
"VSX1",0.0633146972994882,-0.271132192902582,0.39,0.466,1
"VSX2",0.0633146972994882,-0.271132192902582,0.39,0.466,1
"FOSB::JUNB(var.2)",0.0681181825644629,-0.279812929204333,0.36,0.483,1
"OLIG1",0.0708001643046119,0.255969788949219,0.46,0.388,1
"ESR2",0.0711414194363176,0.248346517640269,0.51,0.431,1
"ZBTB6",0.0739202699456022,-0.228555223127207,0.46,0.56,1
"BHLHE23",0.0742737827054961,0.259939944190702,0.5,0.353,1
"NR4A2::RXRA",0.0746286758583757,0.314835961028357,0.47,0.362,1
"FOSB::JUN",0.07534261811105,-0.310311114172927,0.39,0.5,1
"HOXD9",0.0764239767670305,0.190852095213376,0.49,0.353,1
