,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
GATA5,0.000270246115795693,0.978793759324804,0.415,0.188,0.171065791298673,0.0962076172232665
MAFG,0.00101149457976308,0.622077272416608,0.5,0.344,0.640276068990029,0.180046035197828
LMX1A,0.00237491770287696,0.480413787392493,0.61,0.391,1,0.241307505980342
GATA3,0.0029989331018883,0.825443931920988,0.341,0.219,1,0.241307505980342
GATA2,0.00507554015885986,0.809734265825709,0.329,0.172,1,0.241307505980342
PRDM1,0.00539451802994648,-0.299416178844961,0.378,0.656,1,0.241307505980342
GATA4,0.00573148678935242,0.881545506066379,0.366,0.234,1,0.241307505980342
NFIC::TLX1,0.00608732275527514,0.430999954514207,0.524,0.391,1,0.241307505980342
GATA6,0.00661892983658626,0.70747575376851,0.341,0.234,1,0.241307505980342
MAX::MYC,0.0067783007297849,0.469506132597836,0.585,0.516,1,0.241307505980342
NRL,0.0115329699590103,0.381748912107178,0.488,0.312,1,0.373248845946153
NR3C1,0.0160488970551543,0.438319130831284,0.5,0.297,1,0.456656517787119
OTX1,0.0215976636329972,0.407114806608986,0.488,0.344,1,0.456656517787119
CLOCK,0.0215976636329972,0.521658076263136,0.549,0.438,1,0.456656517787119
GATA1,0.023222011605885,0.507981662171265,0.451,0.328,1,0.456656517787119
EGR4,0.024697708335177,0.377252694818456,0.439,0.312,1,0.456656517787119
TCF7L1,0.024697708335177,0.334088117659014,0.537,0.344,1,0.456656517787119
KLF13,0.0262539585207309,-0.306938845292665,0.427,0.5,1,0.456656517787119
BHLHE22(var.2),0.0270633745868106,0.373673518827828,0.537,0.391,1,0.456656517787119
GATA1::TAL1,0.0273379245321753,0.787926228954522,0.305,0.234,1,0.456656517787119
RUNX2,0.0299188771556189,0.413832770658505,0.537,0.391,1,0.456656517787119
TFAP2B,0.0299188771556189,0.389685846754776,0.573,0.438,1,0.456656517787119
TP73,0.0314412686570634,0.378012456425925,0.524,0.406,1,0.456656517787119
ELF4,0.0320685756872977,-0.25144822039212,0.402,0.578,1,0.456656517787119
MAFA,0.0320685756872977,0.322664961203954,0.524,0.406,1,0.456656517787119
TCF7L2,0.0374841790169423,0.350073865036146,0.512,0.359,1,0.493483946166598
MAFF,0.0389537483900873,0.368377638487199,0.5,0.359,1,0.493483946166598
PRDM4,0.0400877882135841,0.351585020719345,0.585,0.422,1,0.493483946166598
ZNF354C,0.0474958640963507,0.260741305660079,0.537,0.391,1,0.493483946166598
MAX,0.0506724137599533,0.292815722115306,0.537,0.406,1,0.493483946166598
MAZ,0.0525661901306486,0.236127902304718,0.537,0.375,1,0.493483946166598
NR1I3,0.0555175319281058,0.296602452641956,0.512,0.344,1,0.493483946166598
NR6A1,0.0555175319281058,0.310181561780674,0.463,0.312,1,0.493483946166598
E2F4,0.057560814312088,-0.225803520117559,0.366,0.531,1,0.493483946166598
ZNF24,0.0623874543420931,0.313294296229107,0.549,0.406,1,0.493483946166598
TFAP2A(var.2),0.064068906370825,0.219669173870305,0.537,0.312,1,0.493483946166598
NFYB,0.064068906370825,-0.25985295456264,0.415,0.547,1,0.493483946166598
TCFL5,0.0652105305697913,0.323103836269385,0.512,0.375,1,0.493483946166598
ZIC1,0.0675441256875996,-0.21497193858341,0.488,0.609,1,0.493483946166598
MEIS3,0.0699459976651072,0.306552417261471,0.524,0.312,1,0.493483946166598
ETV3,0.0724175289836875,-0.295559191237946,0.366,0.453,1,0.493483946166598
CEBPB,0.0749601070482451,-0.495550371780994,0.585,0.625,1,0.493483946166598
HIF1A,0.0769145019251314,0.246835295001065,0.537,0.391,1,0.493483946166598
GSC2,0.0782403591634959,0.276812683779304,0.5,0.406,1,0.493483946166598
MAF,0.0782403591634959,0.298212996289686,0.451,0.344,1,0.493483946166598
