,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
MYBL1,0.00434330251541781,0.45046555114649,0.591,0.344,1,0.576052113778892
ATF2,0.00461507278133664,-0.409919226260857,0.436,0.623,1,0.576052113778892
ELF1,0.00678973369682541,-0.39111402683216,0.136,0.213,1,0.576052113778892
ZNF682,0.00685597010211692,-0.373426993195384,0.409,0.59,1,0.576052113778892
ESR1,0.00692278650242198,-0.434656160458206,0.255,0.426,1,0.576052113778892
FOXO3,0.00815174885436255,0.466486752920608,0.618,0.557,1,0.576052113778892
ZIC5,0.00815174885436255,0.385690997189843,0.673,0.574,1,0.576052113778892
ETV4,0.0100303978887303,-0.494869412973153,0.218,0.41,1,0.576052113778892
PITX2,0.0126253274271316,-0.394816044494792,0.355,0.557,1,0.576052113778892
FOXI1,0.0127404890883167,0.398404340345293,0.627,0.557,1,0.576052113778892
FOXL1,0.0127404890883167,0.398404340345293,0.627,0.557,1,0.576052113778892
FOXO4,0.0127404890883167,0.398404340345293,0.627,0.557,1,0.576052113778892
FOXO6,0.0127404890883167,0.398404340345293,0.627,0.557,1,0.576052113778892
FOXP3,0.0127404890883167,0.398404340345293,0.627,0.557,1,0.576052113778892
PITX3,0.0196512648749361,-0.342748606285453,0.418,0.607,1,0.756349073255237
GABPA,0.0206900336711935,-0.383360909420593,0.227,0.213,1,0.756349073255237
EHF,0.0208677380831819,-0.394053624495227,0.191,0.164,1,0.756349073255237
IKZF1,0.0225278483517889,-0.336687716345803,0.273,0.41,1,0.756349073255237
FOXD1,0.02330178366714,0.396472708989531,0.664,0.525,1,0.756349073255237
TFAP2B(var.3),0.0238972850949522,0.321828287601296,0.518,0.361,1,0.756349073255237
NFIC::TLX1,0.0270768044292955,-0.34924165841629,0.373,0.508,1,0.816172247797336
MSANTD3,0.0286814671101578,0.302587141609323,0.545,0.311,1,0.825244030942266
SMAD2::SMAD3::SMAD4,0.0321376888752907,-0.33143310682499,0.382,0.525,1,0.868345739988259
ELF3,0.0329230612317823,-0.370045104803649,0.191,0.262,1,0.868345739988259
ONECUT2,0.0353784808118496,0.317779603294181,0.536,0.426,1,0.895783134156033
FOXA3,0.0371008561928062,0.336998669457729,0.636,0.508,1,0.90326315269409
HOXB13,0.039508003972,0.362935663600033,0.636,0.574,1,0.926243204232445
FOXA1,0.0457610808982246,0.306045637665473,0.664,0.525,1,0.954847700083344
SPI1,0.0479012645662662,-0.338411337042445,0.109,0.18,1,0.954847700083344
ALX3,0.0490025188621769,0.326229385496774,0.664,0.59,1,0.954847700083344
RARA(var.2),0.0524345157661445,-0.305185308100135,0.445,0.574,1,0.954847700083344
OTX2,0.0528279641294253,-0.239158647133224,0.482,0.639,1,0.954847700083344
HES5,0.0536222649389013,0.30704570179107,0.445,0.361,1,0.954847700083344
IRF6,0.0536222649389013,0.269060733133241,0.491,0.393,1,0.954847700083344
REL,0.0540231399880948,0.378996494249111,0.491,0.393,1,0.954847700083344
SPIC,0.0560652154157166,-0.399730638695601,0.218,0.18,1,0.954847700083344
HIF1A,0.056899851593806,0.263555424057771,0.591,0.41,1,0.954847700083344
POU3F2,0.0573210309686683,0.303517008680727,0.6,0.492,1,0.954847700083344
RARA::RXRG,0.0599028889046304,-0.336129001579186,0.427,0.525,1,0.961917152328864
PRDM1,0.0607846541755996,0.248235633605017,0.5,0.377,1,0.961917152328864
POU3F1,0.0630362025938984,0.315179675981404,0.6,0.508,1,0.973217469315553
FOXA2,0.0677462645869173,0.328407731195729,0.655,0.557,1,0.975810081934917
TCF7,0.0702077108291214,-0.301035959599643,0.509,0.672,1,0.975810081934917
NR4A1,0.0758816207276744,0.220874823236686,0.645,0.475,1,0.975810081934917
NR1H4::RXRA,0.0791308659515729,0.348009908272884,0.482,0.393,1,0.975810081934917
EGR2,0.0796832519168871,0.30665441816877,0.627,0.508,1,0.975810081934917
PPARA::RXRA,0.080238768281773,0.228232000886627,0.455,0.311,1,0.975810081934917
FOXP1,0.0813592399379735,0.298801697075035,0.655,0.607,1,0.975810081934917
STAT1::STAT2,0.0824923763930443,0.245943539813395,0.3,0.148,1,0.975810081934917
IRF7,0.0830637237611488,0.303626397517229,0.509,0.426,1,0.975810081934917
CTCF,0.083638273139605,0.428404748852673,0.709,0.672,1,0.975810081934917
ZNF382,0.0877507777703379,-0.246019678013003,0.536,0.656,1,0.975810081934917
MEOX1,0.0895625033761534,-0.269740961367606,0.582,0.721,1,0.975810081934917
FOXN3,0.090173062518392,0.291493277920329,0.591,0.541,1,0.975810081934917
NR2F1(var.3),0.090173062518392,0.259453646373023,0.482,0.328,1,0.975810081934917
POU3F3,0.0914042282035342,0.214227214858215,0.645,0.475,1,0.975810081934917
TP63,0.094541307673035,0.270945394317045,0.518,0.426,1,0.975810081934917
MAX,0.104472725241045,0.312380703122996,0.473,0.41,1,0.975810081934917
ETV1,0.105163224055583,-0.288629989951524,0.273,0.262,1,0.975810081934917
NFATC2,0.109382585386727,0.233802279860156,0.527,0.459,1,0.975810081934917
POU1F1,0.110818411542863,0.268402418440754,0.609,0.508,1,0.975810081934917
SRF,0.113000006463956,0.153256139934225,0.491,0.377,1,0.975810081934917
PITX1,0.118222000940989,-0.191681288337674,0.364,0.525,1,0.975810081934917
RAX,0.118983208932051,-0.168888511152,0.464,0.574,1,0.975810081934917
POU2F1,0.120517145399745,0.212638240919238,0.582,0.557,1,0.975810081934917
MXI1,0.122066517999911,0.179849236654092,0.455,0.344,1,0.975810081934917
NR2F6(var.3),0.122847021067875,0.300500692275733,0.464,0.361,1,0.975810081934917
ETV2,0.123631416982178,-0.26382901003865,0.482,0.541,1,0.975810081934917
HINFP,0.126808153108681,0.304829541302435,0.655,0.607,1,0.975810081934917
PROP1,0.128420168723632,0.258517797829292,0.6,0.508,1,0.975810081934917
SOX15,0.128420168723632,0.277619871318201,0.591,0.475,1,0.975810081934917
CLOCK,0.134187881493517,0.31232128662232,0.582,0.459,1,0.975810081934917
LMX1A,0.135027943036261,-0.211722305124511,0.509,0.557,1,0.975810081934917
BATF3,0.145428284836262,-0.342557841756219,0.382,0.459,1,0.975810081934917
MAFK,0.150853328128321,-0.225419385841349,0.364,0.508,1,0.975810081934917
PAX5,0.154554825712094,0.207995925484671,0.491,0.377,1,0.975810081934917
MAFF,0.155490893014501,0.164066547791962,0.591,0.426,1,0.975810081934917
FOS,0.160235883791572,-0.359834889929279,0.391,0.508,1,0.975810081934917
ZIC4,0.161197881500827,0.196700403592992,0.636,0.656,1,0.975810081934917
BATF::JUN,0.162164235082009,-0.322071848463919,0.373,0.508,1,0.975810081934917
SOX4,0.162164235082009,0.189150580333653,0.6,0.459,1,0.975810081934917
TEF,0.164110048332743,0.155003090828291,0.436,0.344,1,0.975810081934917
MLX,0.165089527119373,0.158926407443439,0.527,0.426,1,0.975810081934917
MYOD1,0.165089527119373,-0.227169803618637,0.427,0.541,1,0.975810081934917
FOXF2,0.166073400011056,0.182581501981529,0.664,0.557,1,0.975810081934917
NFIB,0.167061676444798,-0.196420345445528,0.382,0.525,1,0.975810081934917
TBX4,0.171059004595824,-0.234447074952809,0.345,0.443,1,0.975810081934917
TBX5,0.171059004595824,-0.234447074952809,0.345,0.443,1,0.975810081934917
SPIB,0.171059004595824,-0.252041996606385,0.1,0.049,1,0.975810081934917
POU5F1,0.173084331596088,0.181301919707349,0.545,0.459,1,0.975810081934917
TP73,0.174103692834266,0.198335921753515,0.582,0.475,1,0.975810081934917
TFAP2A(var.3),0.174103692834266,0.171991168796928,0.564,0.459,1,0.975810081934917
ONECUT3,0.17512753128388,0.188016780559082,0.573,0.443,1,0.975810081934917
CREB1,0.178225999355975,-0.131674259848215,0.464,0.59,1,0.975810081934917
PAX7,0.182420509158648,0.286163915402765,0.5,0.377,1,0.975810081934917
HMBOX1,0.1834804836975,0.247657568196816,0.509,0.475,1,0.975810081934917
HOXB7,0.1834804836975,-0.130549719289197,0.527,0.656,1,0.975810081934917
SP8,0.184545014207464,-0.0988919037365332,0.482,0.623,1,0.975810081934917
BATF,0.185614109154967,-0.300387166723456,0.391,0.459,1,0.975810081934917
MLXIPL,0.18668777694762,0.176417169162651,0.527,0.426,1,0.975810081934917
KLF17,0.18668777694762,-0.168326651295627,0.509,0.656,1,0.975810081934917
OLIG1,0.188848864401633,0.183282401119095,0.555,0.443,1,0.975810081934917
ATOH1(var.2),0.192124998672324,0.224326630931268,0.564,0.475,1,0.975810081934917
BACH1,0.193226276737008,-0.303521018107904,0.455,0.525,1,0.975810081934917
MEIS2,0.196557922591607,-0.158997127305405,0.482,0.607,1,0.975810081934917
