,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
RBPJ,0.00286276883791512,-0.334294275846577,0.45,0.658,1,0.443313162889753
NR2F1(var.2),0.00353384757266528,-0.433998889043881,0.387,0.548,1,0.443313162889753
RARA::RXRA,0.00551064846659734,-0.406409046859182,0.414,0.671,1,0.443313162889753
ESR2,0.0055587857415643,-0.361216931967835,0.423,0.575,1,0.443313162889753
RXRG,0.0108844553939562,-0.417016460810155,0.387,0.548,1,0.45573050671844
THRB,0.0117992005799504,-0.455897233159234,0.369,0.521,1,0.45573050671844
GATA1::TAL1,0.0148489098512633,-0.590638958027903,0.252,0.301,1,0.45573050671844
GMEB2,0.015082808658682,0.362293992189415,0.441,0.288,1,0.45573050671844
SOX4,0.0155603602593626,0.394661783214701,0.495,0.329,1,0.45573050671844
ZNF75D,0.017073760122718,-0.337652620434411,0.369,0.548,1,0.45573050671844
NFIX(var.2),0.0173381723888128,-0.36521914411432,0.414,0.644,1,0.45573050671844
RORA,0.0204921942257677,-0.308776924456858,0.396,0.589,1,0.45573050671844
RXRB,0.0229196062731276,-0.392424115794144,0.459,0.575,1,0.45573050671844
ZNF341,0.0257804573605364,-0.329087524155134,0.441,0.548,1,0.45573050671844
ZNF148,0.0269302680881959,-0.228976206068005,0.369,0.466,1,0.45573050671844
PPARG,0.033366319767409,-0.302999567377743,0.459,0.63,1,0.45573050671844
ETV5,0.0340769848963246,-0.284603308004828,0.423,0.562,1,0.45573050671844
VSX1,0.0355371918380895,0.32985016366885,0.495,0.315,1,0.45573050671844
VSX2,0.0355371918380895,0.32985016366885,0.495,0.315,1,0.45573050671844
ATF4,0.0367944923910565,0.398772478443354,0.55,0.438,1,0.45573050671844
PPARD,0.0394230332468917,-0.354269105971428,0.441,0.521,1,0.45573050671844
TBX3,0.0410754139391698,-0.374868992436079,0.477,0.521,1,0.45573050671844
HOXC10,0.0413564376958149,0.304535631326141,0.532,0.37,1,0.45573050671844
EBF1,0.0424968707513645,-0.238368953804987,0.369,0.534,1,0.45573050671844
HOXD12,0.0427860993343323,0.319192042423628,0.541,0.438,1,0.45573050671844
SCRT2,0.0433695512278514,-0.300565701566559,0.387,0.521,1,0.45573050671844
SOX10,0.0463885912639625,0.300105063083074,0.532,0.438,1,0.45573050671844
HOXD11,0.0492551523451177,0.327999121907057,0.532,0.411,1,0.45573050671844
ZBTB6,0.0495826443074494,-0.270464182369223,0.459,0.658,1,0.45573050671844
