,p_val,avg_diff,pct.1,pct.2,p_val_adj,p_val_adj_BH
NRL,0.000783383801478654,-0.547966795672146,0.312,0.534,0.495881946335988,0.263232361340063
RARA::RXRA,0.00101888783424847,-0.563841400118079,0.391,0.671,0.644955999079284,0.263232361340063
GATA6,0.00137917226471627,-0.885041330625033,0.234,0.342,0.873016043565402,0.263232361340063
GATA1::TAL1,0.00169770857862395,-0.853373044354569,0.234,0.301,1,0.263232361340063
ESR2,0.00277252979636034,-0.521791808661682,0.375,0.575,1,0.263232361340063
DPRX,0.00293335715509797,-0.504906218486116,0.281,0.534,1,0.263232361340063
KLF4,0.00314634949648887,-0.314886044586597,0.297,0.452,1,0.263232361340063
GATA3,0.00332679129655688,-0.811931293744938,0.219,0.315,1,0.263232361340063
NFIC::TLX1,0.00387265201913512,-0.421545977540718,0.391,0.616,1,0.2660854402436
GATA5,0.00420356145724486,-0.843542504243996,0.188,0.329,1,0.2660854402436
NR6A1,0.00514591678142621,-0.453308730128379,0.312,0.603,1,0.296124120240254
GATA2,0.00611276756044225,-0.899432884121432,0.172,0.329,1,0.322448488813329
RXRB,0.00752562613303584,-0.505364373992432,0.391,0.575,1,0.348780157421985
TBX20,0.00934135947469851,-0.557566814709658,0.328,0.479,1,0.348780157421985
GATA4,0.00957883366717284,-0.843536814755918,0.234,0.342,1,0.348780157421985
NFIB,0.00982167594033108,-0.436833080472927,0.375,0.534,1,0.348780157421985
ZNF354C,0.010848805455699,-0.345346533132402,0.391,0.548,1,0.348780157421985
NR2F1(var.2),0.010848805455699,-0.407729907813487,0.406,0.548,1,0.348780157421985
TBX21,0.0115382439600942,-0.447628212691616,0.391,0.534,1,0.348780157421985
MAFF,0.0115382439600942,-0.404884882958075,0.359,0.534,1,0.348780157421985
RXRG(var.2),0.0116807075809271,-0.358974303041167,0.453,0.603,1,0.348780157421985
RXRG,0.0122662889240934,-0.51098202907568,0.391,0.548,1,0.348780157421985
KLF5,0.0138454765645259,-0.282100359781152,0.359,0.425,1,0.348780157421985
MAFG,0.0141820365064478,-0.429910446689538,0.344,0.466,1,0.348780157421985
HNF1B,0.0145257946316033,-0.384928019122404,0.375,0.575,1,0.348780157421985
RARA::RXRG,0.0145257946316033,-0.416960075446052,0.375,0.589,1,0.348780157421985
NFIX(var.2),0.0148768787525965,-0.384816203659845,0.469,0.644,1,0.348780157421985
NFIC(var.2),0.0159753895700482,-0.378056930858525,0.438,0.603,1,0.353356984665817
EGR4,0.0167467765244463,-0.385799664028279,0.312,0.466,1,0.353356984665817
TBX3,0.0167467765244463,-0.495442691689656,0.391,0.521,1,0.353356984665817
PPARD,0.0175506735012884,-0.471465924693611,0.344,0.521,1,0.358373429881146
MYBL1,0.0181756041065841,0.368454091716745,0.625,0.397,1,0.359536168733367
PAX4,0.0211141722655923,0.408342116443996,0.547,0.301,1,0.371257529003332
TLX2,0.0211141722655923,0.408342116443996,0.547,0.301,1,0.371257529003332
LHX9,0.0211141722655923,0.408342116443996,0.547,0.301,1,0.371257529003332
PRRX2,0.0211141722655923,0.408342116443996,0.547,0.301,1,0.371257529003332
MEIS1,0.0223500486689684,-0.389817463312581,0.344,0.438,1,0.382367048850189
ZNF274,0.0233835736206762,-0.39994659371159,0.406,0.603,1,0.389521107944421
TCF7L1,0.0288786401911902,-0.340008621487742,0.344,0.521,1,0.467107861257778
ZNF263,0.02951708443967,-0.225643130607921,0.406,0.507,1,0.467107861257778
NR2F2,0.0308304622006232,-0.297157383483936,0.391,0.493,1,0.475992257877914
NR1H4,0.0343352729816838,-0.413331017839421,0.406,0.507,1,0.508966760827517
