barcodes,name,chr19:50414786-50415169,chr19:50415707-50416074,chr19:50427942-50428411,chr19:50431439-50432188
1787,Cluster 1,10,6,13,28
1130,Cluster 2,6,2,6,16
960,Cluster 3,7,5,6,13
936,Cluster 4,1,4,8,10
621,Cluster 5,3,4,9,16
574,Cluster 6,4,3,11,3
443,Cluster 7,0,4,11,6
424,Cluster 8,3,3,1,12
